SPEC2
Agonum muelleri
Amara aulica
Amara bifrons
Calathus cinctus
Calathus melanocephalus
Cicindela hybrida
Pterostichus vernalis
Stenolophus teutonus
Bembidion illigeri
Asaphidon stierlini
Ophonus puncticeps
Cychrus caraboides
Pterostichus oblongopunctatus
Carabus problematicus
Amara familiaris
Amara lunicollis
Bembidion lunulatum
Harpalus latus
Harpalus luteicornis
Harpalus rufipes
Harpalus tardus
Ophonus azureus
Anchomenus dorsalis
Bembidion biguttatum
Brachinus crepitans
Olisthopus rotundatus
Ophonus laticollis
Ophonus rufibarbis
Stenolophus mixtus
Pterostichus anthracinus
Pterostichus niger
Pterostichus strenuus
Amara ovata
Bembidion obtusum
Clivina fossor
Harpalus laevipes
Leistus ferrugineus
Leistus fulvibarbis
Panagaeus bipustulatus
Pterostichus melanarius
Pterostichus madidus
