LOC;REP;DATE;Na;Mg;Al;Si;P;S;Cl;K;Ca;Ti;V;Cr;Mn;Fe;Ni;Cu;Zn;Ga;Ge;As;Br;Rb;Sr;Y;Zr;Nb;Sn;Ba;Ce;Nd;Hf;W;Tl;Pb;Th;U;SOIL;PH;CARB;C_N
O1;1;31.08.2023;5455;8025;92665;180200;530.9;4439.5;203.35;27620;2230;4817;167.1;106.65;602.8;39335;68.05;55.2;73.15;26.65;2.25;66.85;3.45;176;130.35;25.1;148.85;13.05;6.8;526;132;70;6.35;3.3;0.9;45.1;17.2;3.75;Sand;5.06;0;73.16
O1;2;31.08.2023;4985;7793.5;87685;176450;531.25;4272;209.6;25670;2524.5;4575.5;172.9;102.85;471.45;38805;66.2;59.55;70.75;25.1;1.8;64.2;4;159.3;127.95;23.55;154.05;11.8;5.75;543;104;106.3;4.15;3.4;0.55;44.85;16.45;3.65;Sand;5.31;0;64.48
O1;3;31.08.2023;4685;7855;85285;189250;725.3;3565;163.45;24690;11485;4511;152.85;99.05;497;37400;67.35;59.8;101.1;23.1;1.8;61.5;3.1;150.4;155;22.95;174.9;11.45;2.2;506;79;102.3;3.3;3.65;0.8;42.9;15.85;2.85;Sand;6.93;1.05;56.7
O2;1;31.08.2023;7385;7011.5;68770;152800;628.2;6843.5;130;19095;69035;3707;145;84.5;636.75;40210;49.9;53.75;99.95;20.3;;27.55;3.05;124.5;433.25;21.3;146;8.5;11.55;747;139;107;4.5;2.6;0.65;60.4;14.3;5.1;Lehmiger Sand;7.37;5.92;49.42
O2;2;31.08.2023;7180;7660.5;85520;171850;609.55;6788.5;292.25;24030;18585;4524.5;168.75;96.8;745.3;45145;63.05;76;146.7;25.5;2.1;41.8;4.8;146.95;263.1;24.05;151.65;11;16.9;770.5;157;75.15;2.4;6.35;0.75;76.05;16.95;4.55;Lehmiger Sand;7.26;0.89;86.27
O2;3;31.08.2023;9665;7465;86915;165650;614.5;10790;426.7;24065;10670;4441;171.05;102.3;552.15;50650;59.45;92.85;137.65;26.2;;41.05;3.7;147.9;229.1;24.1;147.55;10.3;14.45;776.5;;90.3;2.9;4.5;0.5;73.35;17.1;4.2;Lehmiger Sand;6.81;0;67.49
O3;1;31.08.2023;6040;6979;43680;204600;3270;1099.5;70.1;10295;71025;2665;61.75;59.4;521.75;19230;28.3;48.75;186.1;9.4;0.9;4.65;4.55;51.1;182.95;15.85;337.65;6.5;7.7;340;;52.65;6.65;4;0.35;41.5;6.65;1.9;Lehmiger Sand;7.27;5.33;26.22
O3;2;31.08.2023;4880;6087.5;41265;201450;2127;1100.5;57.35;10235;70600;2408.5;63.2;52.3;418.55;15995;25.25;33.55;120.9;7;0.55;1.95;4.35;49.9;220.45;13.95;293.45;6;5.05;271;;42.5;6.85;4.9;0.35;30.95;6.55;1.8;Lehmiger Sand;7.16;4.32;22.79
O3;3;31.08.2023;5015;6106.5;41955;215900;2194;848.4;46.6;10105;65755;2451.5;66.3;54;392.65;15730;26.55;57.2;142.5;7.85;0.8;4;3.85;50.8;203.45;14.3;367.3;6.1;4.45;269.5;81;59.5;8.55;6.05;0.55;37.7;7.15;1.75;Lehmiger Sand;7.29;4.13;25.07
O4;1;31.08.2023;5720;5619;76165;171800;771.3;5675;202.25;22165;22420;4059.5;142.9;85;399.25;63550;36.35;45.6;57.5;22.75;;217.65;2.55;135.5;207.75;21.2;187.4;9.15;;466.5;100.5;116.1;2.1;2.55;;76.6;16.65;2.75;Lehmiger Sand;7.11;1.86;93.02
O4;2;31.08.2023;5170;6347;76155;195100;714.9;4509;128.5;20390;29240;3951.5;145.6;83.6;448.7;37380;43.15;44.1;89.3;20.55;;117.85;2.55;120.65;231.15;22.3;254.25;9.8;2.05;468;129;120.15;6.25;3.25;0.5;64.85;14.25;3.75;Lehmiger Sand;7.3;1.69;38.38
O4;3;31.08.2023;3105;5315.5;48645;189650;681.25;352.95;19.85;11985;87630;3123.5;100.05;83.05;582.45;22650;29.65;15.7;73.7;10.85;;3.15;2.7;72.1;369.95;18.25;311.05;8.05;3.1;277;88;84.4;6;1.95;0.3;25.4;8.15;1.7;Lehmiger Sand;7.51;7.43;38.85
O5;1;25.09.2023;8275;8347.5;46585;184150;6298;1751.5;82.4;10950;66695;2676.5;72.35;74.65;676.75;24170;40.55;100.95;317.55;12.1;1;3.6;7.95;54.5;187.7;14.7;280;6.65;10.8;425.5;75.5;77.3;4.1;4.1;0.3;98.9;8.4;1.1;Lehmiger Sand;7.24;4.46;19.18
O5;2;25.09.2023;8275;8015.5;46585;191700;6192.5;1725;80.7;10980;63990;2595;69.5;73.65;675.4;22935;34.9;93.8;294.25;7.9;;3.4;7.15;52.85;178.1;14.1;282.65;6.05;9.6;377.5;;48.25;3.65;6.9;0.5;114.65;8;1.35;Lehmiger Sand;7.19;4.56;19.82
O5;3;25.09.2023;7110;7684;46560;194600;5526;1581;84.65;10760;62285;2772.5;79.05;73.25;690.65;22295;35.45;82.95;276.95;11.55;1.45;8;7.05;54.05;171.65;15.8;288.15;7.05;5.5;377.5;70.5;97.75;6.15;3.45;0.65;99.3;7.3;1;Lehmiger Sand;7.21;3.44;20.39
O6;1;25.09.2023;3945;5058.5;37295;130200;792.85;731.15;40.05;9492;157350;2230;89.05;49.85;391.65;20075;34.05;21.8;73.2;11.7;;9.65;2.2;69.65;778.55;12.65;116.2;5.65;8.15;201;59;81.8;;2.05;0.1;28;7.15;0.6;Lehm ;7.45;15.47;46
O6;2;25.09.2023;4140;5007;34555;121400;718.15;352.95;19.1;8362;188250;1925;74.15;46.1;431;17555;30.1;16.5;73.25;9.85;;3.7;4.35;59.05;1032;11.45;112.05;4.45;3.95;181.5;54;73.3;;1.9;1;24.85;6.6;1.4;Lehm ;7.55;19.15;60.61
O6;3;25.09.2023;4095;5256.5;37185;126450;784.2;399.95;18.95;9100;192400;2068;90.2;51.95;456.85;18285;30.7;20.45;82.35;9.7;;2.4;4.9;61.5;1062;11.95;107.55;4;1.2;152.5;63;73.5;2.3;1.5;0.5;32.25;6.2;3.5;Lehm ;7.55;19.33;50.33
K1;1;25.09.2023;4415;6618.5;73360;200900;718.1;2693.5;190.6;18360;24980;3803;120.45;94;465.5;27550;47.7;51.2;166;17.8;0.4;18.75;3.6;99.5;151.1;21.45;269.65;7.65;3.55;399.5;128;99.55;6.05;4.95;0.45;46.35;11.55;2.55;Lehmiger Sand;7.24;1.91;34.43
K1;2;25.09.2023;5255;6487;84750;212700;601.85;3704;224.95;21240;6828.5;4072;142.85;87.5;457.55;35455;50.55;51.4;114.3;18.45;0.8;22.45;3.05;118;112.45;21.7;239;9.45;2.75;455.5;123;102.1;6.8;3.2;0.6;43.15;13.4;1.6;Lehmiger Sand;6.55;0.24;54.58
K1;3;25.09.2023;4725;7278.5;94010;194750;578.65;3149.5;178.45;23955;7503.5;4701;157.25;113.35;455.2;30310;56.2;81.6;138.65;25.1;1.45;20.7;3.25;150.4;124.75;22.95;186.75;11.3;7.3;482;160;112.9;7.6;4.2;0.85;53.95;16.05;1.65;Lehmiger Sand;6.91;0.24;34.71
K2;1;25.09.2023;1715;1260.5;33270;291200;739.2;400;42.1;12170;2671.5;1689.5;19.15;27.2;195.95;8169.5;15.55;7.2;39.9;4.5;0.8;2.35;2.5;45.2;45.05;6.55;205.05;2.95;3;239.5;67;39.4;4.5;9.75;0.3;13;3.35;;Sand;5.78;0;15.01
K2;2;25.09.2023;2250;789;32515;281050;828.1;345.2;45.1;11655;2106.5;1646;15;24.15;294.05;6809.5;13.55;7.15;39.3;4.5;0.45;2.3;3.75;42.6;42.6;7.1;196.25;2.3;2.2;255;146;36.9;3.4;9.15;0.2;11.85;3.4;;Sand;5.58;0;14.13
K2;3;25.09.2023;2360;950;31050;319700;694.25;296.45;47.8;11780;1768.5;1425;8.8;21.6;163.15;6717;11.85;3.9;35.15;3.35;1.2;2.3;2.7;42.65;42.65;6.35;193.8;2.5;0.7;247;;22.35;3.05;14.65;0.2;9.9;2.5;;Sand;5.47;0;12.77
K3;1;25.09.2023;4910;7960;45815;255400;895.45;331.4;23.95;14345;53860;3578.5;53.1;67.55;554.35;18375;28.3;15.6;70.15;8.45;;3;2;61.75;158.05;23.8;499.25;10.85;5.55;318.5;39;57.5;12.3;12.55;0.35;23.65;8.4;1.15;Sandiger Schluff;7.45;4.54;29.13
K3;2;25.09.2023;4965;7500;50050;249700;862.2;876.55;58.8;14825;43650;3563.5;68.65;61.45;551.75;21450;32.25;28.5;164.05;12.1;0.7;6.5;3.55;65.35;148.95;24.2;453.95;8.9;7.8;347;93;104.95;9.1;7.9;0.5;77.55;9.9;1.3;Sandiger Schluff;7.63;3.32;29.43
K3;3;25.09.2023;4035;7153;52235;236800;765.35;942.85;76.8;14710;48630;3638;82.55;68.05;590.65;22375;33.95;24.4;195.15;11.25;0.4;5.75;2.75;68.5;177.8;24.55;431.85;9.8;5.5;368;113;107.4;10.35;5.4;0.6;54.2;9.85;2.15;Sandiger Schluff;7.64;3.96;37.49
