"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"GO_MITOCHONDRIAL_GENOME_MAINTENANCE","Y",0.00880864999409345,11,-0.103896545388171,0.132517734112604,-0.784019935776202,0.433047594407417,0.767948473940457
"GO_REPRODUCTION","Y",0.276213395700431,766,-0.0488608663515586,0.0179288177985519,-2.72526983655917,0.00643644200957772,0.0786180247395678
"GO_SINGLE_STRAND_BREAK_REPAIR","Y",0.00668646276983391,8,0.0530464639748649,0.188754019690447,0.281034883717232,0.778689650131583,0.937820725261844
"GO_REGULATION_OF_DNA_RECOMBINATION","Y",0.0365824741609041,58,0.0638866977494199,0.0713957876529134,0.894824468636743,0.370903174463911,0.727492810208547
"GO_REGULATION_OF_MITOTIC_RECOMBINATION","Y",0.00356149939047293,4,0.386951723460422,0.354756620830629,1.09075264770087,0.275408884354892,0.644920062220037
"GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY","Y",0.00833119385360563,11,0.768154287094479,0.384335156476228,1.99865735452695,0.0456733526968959,0.263631326199385
"GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","Y",0.00558438650515279,7,0.850346354989059,0.36885560232436,2.30536380532264,0.0211672468033056,0.164578603738638
"GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","Y",0.0122349144759117,16,-0.0120330457127741,0.123369748369825,-0.0975364371880111,0.922302418615621,0.985133457852764
"GO_TRANSITION_METAL_ION_TRANSPORT","Y",0.040626102528743,66,-0.102537837731581,0.0544018059600638,-1.88482415100067,0.0594835105136815,0.303959935978482
"GO_UREA_CYCLE","Y",0.0044189580280665,5,0.0779464898671811,0.245640631126148,0.317319205335993,0.751008249127541,0.92870435510171
"GO_CITRULLINE_METABOLIC_PROCESS","Y",0.00435877935517154,5,-0.211223599038414,0.170953009325661,-1.23556525779572,0.216650186834034,0.58187142655475
"GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS","Y",0.00432675137503581,5,0.415229590783059,0.349200951703311,1.18908493449882,0.234435410649584,0.602771413640159
"GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS","Y",0.00278297611692092,3,0.270706484327969,0.395487538978082,0.684488024647906,0.49368343428286,0.8057466913414
"GO_MITOTIC_SISTER_CHROMATID_SEGREGATION","Y",0.0517618392237078,88,0.018622086090861,0.0548317250460406,0.339622473581208,0.734148218986826,0.925463163373033
"GO_CELL_CYCLE_CHECKPOINT","Y",0.0658026491410305,118,-0.0278774840471027,0.0448167685946477,-0.622032442794905,0.533935184115073,0.833709515320298
"GO_DNA_REPLICATION_CHECKPOINT","Y",0.0076144557503052,10,0.843555864102182,0.311811492377851,2.70533923451406,0.00683541065818766,0.0812630532409029
"GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE","Y",0.0128788094450835,17,-0.0617151831336169,0.11244987576077,-0.548823933473367,0.583138940764649,0.856154407679474
"GO_SULFUR_AMINO_ACID_METABOLIC_PROCESS","Y",0.0178864003087433,25,0.137401539253211,0.117961997358803,1.16479495371106,0.244130702986281,0.611302279364271
"GO_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS","Y",0.00807115710142921,10,0.202717776426307,0.198314600202307,1.02220298565768,0.30671038031661,0.676809935743763
"GO_SULFUR_AMINO_ACID_CATABOLIC_PROCESS","Y",0.00807994804472907,10,0.185358866258116,0.195948591563255,0.945956614331059,0.344194324648998,0.704517674446129
"GO_SULFUR_AMINO_ACID_TRANSPORT","Y",0.00344509825743281,4,0.775932642552642,0.417120282544707,1.86021316877459,0.0628856759136378,0.312694171827957
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II","Y",0.218787986526854,561,-0.136678578785216,0.0189654730594194,-7.20670548828376,6.16049973692391e-13,3.95989988091976e-10
"GO_RRNA_MODIFICATION","Y",0.0134605156473392,18,0.173894819884011,0.15025930082147,1.15729821004973,0.247179097639323,0.6155499199022
"GO_RDNA_HETEROCHROMATIN_ASSEMBLY","Y",0.0153644132107085,21,-0.138248196459589,0.0913305079110381,-1.513713211737,0.130131237156066,0.462017749171538
"GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY","Y",0.033316078131237,52,0.110625413515103,0.0795090833950032,1.39135566392475,0.164149572936845,0.514317217977131
"GO_ACTIVATION_OF_MAPKKK_ACTIVITY","Y",0.00883271114684435,11,0.0492952160153599,0.160280615390832,0.307555694711785,0.758427053395687,0.931232574861115
"GO_ACTIVATION_OF_MAPKK_ACTIVITY","Y",0.0213993112593675,31,-0.150871057262393,0.0744500151797106,-2.02647449967893,0.0427435435799305,0.254442541677636
"GO_ACTIVATION_OF_MAPK_ACTIVITY","Y",0.0529304760754909,91,-0.112969320860958,0.045925125425735,-2.45985873339942,0.0139165204186521,0.131245092316877
"GO_INACTIVATION_OF_MAPK_ACTIVITY","Y",0.0115685794215888,15,-0.0259210017335136,0.125172565845566,-0.207082131443196,0.835950072001255,0.959771057499318
"GO_PROTEIN_POLYUBIQUITINATION","Y",0.101990144077088,205,-0.107947392457007,0.0311191249833033,-3.46884407948249,0.000524977151532118,0.0136620342561949
"GO_MEIOTIC_SPINDLE_ORGANIZATION","Y",0.00515361415312006,6,0.220660720437977,0.274928214978484,0.802612130789291,0.422218657254629,0.759492135721925
"GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION","Y",0.149666082645535,335,-0.0957773704385828,0.0250114894608953,-3.82933493778241,0.000129300460668118,0.00466282089828408
"GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY","Y",0.00362161176918175,4,-0.101888409343505,0.218021608381598,-0.467331702118134,0.640273096586893,0.883063383138463
"GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY","Y",0.0221772929445313,32,-0.00365276302895056,0.0882297944882207,-0.0414005614558949,0.966977418957959,0.994933721536594
"GO_MITOCHONDRIAL_FISSION","Y",0.0190914893195905,27,-0.118506921085943,0.0836437077557715,-1.41680616827708,0.156571783419264,0.506780125929745
"GO_PEPTIDOGLYCAN_METABOLIC_PROCESS","Y",0.00100071641394741,1,0.824587906584068,0.826096559096193,0.998173757661241,0.318220057300238,0.685599002541949
"GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS","Y",0.028844792503813,44,-0.132905457026577,0.0643406926077022,-2.06565163724499,0.0388879342203229,0.23962434975631
"GO_POLYSACCHARIDE_CATABOLIC_PROCESS","Y",0.00949568859090035,12,-0.112262392736576,0.125908216192302,-0.891620865830672,0.372618341814343,0.729344275461943
"GO_MITOTIC_CELL_CYCLE","Y",0.225752328291469,577,-0.0266720417212453,0.0208745020979155,-1.27773307339909,0.201374197329037,0.563356777381898
"GO_MITOTIC_CYTOKINESIS","Y",0.0317455346336494,49,-0.06856599594666,0.0658310989294957,-1.0415441495226,0.297649083383119,0.665907388023739
"GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY","Y",0.0262304947324945,42,-0.338835342532156,0.0531238115478088,-6.37821972219031,1.87347319964836e-10,5.45685097728346e-08
"GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING","Y",0.0166989575559019,25,-0.370272163160542,0.0653038913065515,-5.66998620989367,1.46903542775079e-08,2.52841029417199e-06
"GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA","Y",0.00483845424967425,6,-0.393852944738644,0.110020405003456,-3.57981725959174,0.000345517641790382,0.00987398151425874
"GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC","Y",0.0105001871434422,14,-0.292238978399323,0.0970539855529927,-3.01109714077385,0.00260977085455165,0.0424115765697846
"GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES","Y",0.0695329926895526,127,-0.105181649717622,0.0393405629660909,-2.67361831624733,0.00751637123410212,0.08716918737497
"GO_RESPONSE_TO_OXYGEN_RADICAL","Y",0.00951342800638063,12,-0.0836405157025161,0.129825059906744,-0.644255552530433,0.519424996337678,0.824828160466604
"GO_RE_ENTRY_INTO_MITOTIC_CELL_CYCLE","Y",0.00191695755485321,2,0.436517013021762,0.543426361231238,0.803268012307588,0.421839563315524,0.759405459315018
"GO_PROTEIN_DENEDDYLATION","Y",0.00565685260487979,7,0.715472947334241,0.331175854649899,2.16040190517693,0.0307660278072291,0.208773412709808
"GO_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP","N",2.90067969644235e-12,0,2.98333097314187e-14,0.00508667466445461,5.86499269156963e-12,0.999999999995321,0.999999999995321
"GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS","Y",0.0842885056068327,161,-0.0914067590520066,0.0357056556029012,-2.56000786173997,0.010482024055759,0.108256852044226
"GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME","Y",0.0337012752204173,55,-0.275048550635636,0.0487422250548661,-5.64292151878645,1.71892683203305e-08,2.8927628664414e-06
"GO_SPLICEOSOMAL_SNRNP_ASSEMBLY","Y",0.00948789815001431,12,0.153122998458539,0.173001986289915,0.885093875176302,0.376127984921283,0.730925642753111
"GO_MRNA_3_SPLICE_SITE_RECOGNITION","Y",0.00276926512583967,3,0.342704518971466,0.393691372851442,0.870490294184793,0.384054104827629,0.735097022579751
"GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION","Y",0.0028124762135834,3,0.0292254655262067,0.299514724840985,0.0975760558741238,0.922270958373235,0.985133457852764
"GO_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION","Y",0.00436639260352128,5,0.296978508213287,0.308161740691876,0.963709860758572,0.335215480269996,0.697697551501398
"GO_MRNA_5_SPLICE_SITE_RECOGNITION","Y",0.00275849271072983,3,0.395482604374412,0.421315525195588,0.938685096379526,0.347915865714944,0.706284419590088
"GO_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION","Y",0.0176936848443729,25,0.284507135350794,0.135304284140579,2.10272082039321,0.0355159315311533,0.22819728371674
"GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION","Y",0.00442412170533521,5,0.018705848089481,0.229139082683253,0.0816353450944847,0.934938381367261,0.988285936846408
"GO_AUTOPHAGY_OF_MITOCHONDRION","Y",0.0322459427829299,50,-0.0901757066894311,0.0635424343979628,-1.41914151611922,0.155889957195314,0.506780125929745
"GO_MITOPHAGY","Y",0.0128004740963182,17,-0.144417811779981,0.103087625979416,-1.40092285963417,0.161269194756082,0.511214571740396
"GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA","Y",0.00341869475501064,4,0.86209851085023,0.436531403977487,1.97488314241577,0.048309778348648,0.272412473145429
"GO_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS","N",0.00155578530995552,2,43.5286405271577,843.271458074211,0.0516187760303954,0.958833523148794,0.993459481836
"GO_MATURATION_OF_5_8S_RRNA","Y",0.00805806307749521,10,0.227134719349672,0.202169322671279,1.12348756155743,0.261258339210357,0.630277205899261
"GO_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA","Y",0.00665652565501294,8,0.163995605761822,0.213069657589522,0.769680712012776,0.441508093399862,0.774502021399359
"GO_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA","Y",0.00258282796979141,3,1.18052221671556,0.547076077389297,2.15787577908567,0.0309620065269568,0.20923095888746
"GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA","Y",0.0066122773892059,8,0.267484056199917,0.235790762614755,1.13441278714104,0.256649525684826,0.625974084448243
