"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","Y",0.0177679137138478,25,0.128083830799392,0.0724269805856387,1.76845465272357,0.0770164131858568,0.239927351409025
"KEGG_CITRATE_CYCLE_TCA_CYCLE","Y",0.0102200766183942,13,-0.00410923435699415,0.072897932017318,-0.0563696972366506,0.955048459949669,0.97501059124165
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","Y",0.00947072153309471,12,0.0998909954563102,0.0981276098209048,1.01797033106812,0.308717494653265,0.482533226937036
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","Y",0.00274115873944369,3,0.270220872322514,0.249834943579992,1.08159758779298,0.2794583178453,0.461350615159855
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","Y",0.00942921125814546,12,0.136178761986138,0.105389371093349,1.29214891951028,0.196336420252222,0.401303012823223
"KEGG_GALACTOSE_METABOLISM","Y",0.00870362138085526,11,0.169408512222809,0.115774146190113,1.46326721291145,0.143426740741022,0.337688275668736
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","Y",0.00433571283894355,5,0.218258313371831,0.181696549431391,1.20122431633874,0.22969358629449,0.436592028290215
"KEGG_FATTY_ACID_METABOLISM","Y",0.0167241213508771,23,0.00927522085934821,0.05681289459658,0.163259079214502,0.87031785937406,0.921341595725003
"KEGG_STEROID_BIOSYNTHESIS","Y",0.00594839497943542,7,0.0232315707134955,0.106691730784764,0.217744810611067,0.827632536502143,0.900231881809349
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","Y",0.00513435368569428,6,0.152115337744158,0.154997672504604,0.981404012628898,0.326418072932579,0.493607817605363
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","Y",0.0101568849250704,13,0.095948195716557,0.0933544945049029,1.02778335660655,0.304077425065913,0.479308483578473
"KEGG_OXIDATIVE_PHOSPHORYLATION","Y",0.0273469275389283,41,0.0244960900240031,0.0442994229221148,0.552966346019246,0.580299223021155,0.714805665443277
"KEGG_PURINE_METABOLISM","Y",0.0472819788762269,79,0.0387734747135783,0.0332163527686685,1.16730078656172,0.243117671029068,0.439753687987629
"KEGG_PYRIMIDINE_METABOLISM","Y",0.0269725125946892,41,0.144659553302907,0.0596653587598697,2.42451493311398,0.0153470375089438,0.114181959066542
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","Y",0.0141884139957292,19,0.0166111960190934,0.0637001870838041,0.260771542118701,0.794274237925951,0.885363807880321
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","Y",0.00879789758065174,11,0.0807743856860765,0.0979448174890353,0.824692799035733,0.409566339676351,0.590537513021715
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","Y",0.01670308399328,23,0.039105741635415,0.0613849809276703,0.637057160309182,0.524102675672011,0.678777800174282
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","Y",0.0154685130417424,21,-0.00293857963599678,0.0575597782133972,-0.0510526573799901,0.959284613963559,0.97501059124165
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","Y",0.00594257015453205,7,-0.0377859909418105,0.090715623171457,-0.416532341627562,0.677029740974511,0.791997055479617
"KEGG_LYSINE_DEGRADATION","Y",0.0185631642144241,26,-0.0262168388727198,0.0486943674712641,-0.538395716674851,0.590316261016078,0.722360687822306
"KEGG_ARGININE_AND_PROLINE_METABOLISM","Y",0.0159463052739002,22,0.11886168742569,0.077473576024186,1.53422229262507,0.125007652940365,0.32293643676261
"KEGG_HISTIDINE_METABOLISM","Y",0.00929258100135516,12,0.237931686616987,0.133460555237222,1.78278657835696,0.0746523770132114,0.239927351409025
"KEGG_TYROSINE_METABOLISM","Y",0.0096252246769656,13,0.44682062434488,0.190642971679132,2.34375608190223,0.0191107692222175,0.125554375897662
"KEGG_PHENYLALANINE_METABOLISM","Y",0.00488764666113846,6,0.491749783247038,0.401791455962213,1.22389308172169,0.221022349015763,0.436592028290215
"KEGG_TRYPTOPHAN_METABOLISM","Y",0.00996796113283527,13,0.232397175762693,0.118408657249651,1.96267047664183,0.0497130703994252,0.18870675702639
"KEGG_BETA_ALANINE_METABOLISM","Y",0.00951368814151925,12,0.0517233193126595,0.0876317401884965,0.590234990214759,0.555046893304593,0.688258147697695
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM","Y",0.0036314960966539,4,0.00998208225895451,0.13633164371224,0.07321911470549,0.941633268520898,0.974429842938475
"KEGG_SELENOAMINO_ACID_METABOLISM","Y",0.0108361703995015,14,0.0915773027744014,0.0889774239504803,1.02921953354559,0.303402238234847,0.479308483578473
"KEGG_GLUTATHIONE_METABOLISM","Y",0.017276966705795,24,0.071447981433086,0.0648223274425261,1.10221252849081,0.27039668685771,0.461350615159855
"KEGG_STARCH_AND_SUCROSE_METABOLISM","Y",0.0115500253940958,15,0.0471602124097613,0.077269232827644,0.610336231950904,0.541653427230893,0.685357397720721
"KEGG_N_GLYCAN_BIOSYNTHESIS","Y",0.0214740665619097,31,0.0806951361598187,0.058434245800636,1.38095623643594,0.16732429367253,0.369227734652107
"KEGG_OTHER_GLYCAN_DEGRADATION","Y",0.00560265160908551,7,0.478342712875437,0.226319749370282,2.11357035436099,0.034577491809258,0.154074513949416
"KEGG_O_GLYCAN_BIOSYNTHESIS","Y",0.0122338496603762,16,-0.011286479783067,0.0644743296576497,-0.175053852331568,0.861040979610207,0.920423116135049
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","Y",0.0139389021349637,19,0.17962861326215,0.0898696320376177,1.998768763034,0.0456612894269821,0.176937496529556
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","Y",0.00804592724439419,10,0.136313168608745,0.11602007688357,1.17491017305168,0.240059552130055,0.439753687987629
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","Y",0.0135232049023088,18,0.0446565361849329,0.0703357787927372,0.634904979392139,0.525505393683315,0.678777800174282
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE","Y",0.00588149173165566,7,0.148207883474794,0.146700353891564,1.01027625048774,0.31238820553932,0.484201718585946
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","Y",0.015447511456298,21,0.0397623327380357,0.0642880781569941,0.618502432767309,0.536258746040166,0.683178950434732
"KEGG_GLYCEROLIPID_METABOLISM","Y",0.0197157162205222,28,0.0686507868691957,0.0599797206745341,1.14456663180733,0.252417018201981,0.447138717957795
"KEGG_INOSITOL_PHOSPHATE_METABOLISM","Y",0.0227597416131807,33,-0.0148977741104328,0.0445325123475396,-0.334537023066831,0.737981605338252,0.847312213536512
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","Y",0.00741584016719952,9,-0.0155783708004091,0.0849469370521846,-0.183389435110992,0.854496305385373,0.918707010414332
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","Y",0.0273486485939696,41,0.0231266155788492,0.0441692856845874,0.523590436666698,0.600575419398651,0.726233369208586
"KEGG_ETHER_LIPID_METABOLISM","Y",0.0122349421351273,16,-0.00619360824517473,0.065355778161899,-0.0947675694386495,0.924501408056534,0.966052033137727
"KEGG_ARACHIDONIC_ACID_METABOLISM","Y",0.0132531834217251,18,0.205412840455362,0.0963555604029279,2.1318213458195,0.0330466412730374,0.153666881919624
"KEGG_LINOLEIC_ACID_METABOLISM","Y",0.00502311133763566,6,0.310760009566145,0.184364883236859,1.68557050621676,0.0919107808489085,0.269791382486468
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM","Y",0.00515296608620182,6,0.121614268813066,0.144312015432668,0.842717555072936,0.399407245695105,0.5803886539007
"KEGG_SPHINGOLIPID_METABOLISM","Y",0.0141326952260521,19,-0.058840785663052,0.0520333214008394,-1.13082893958991,0.258155110141043,0.44879649243372
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES","Y",0.0108697521475597,14,0.0593891825342169,0.0827335330937932,0.717836895311708,0.472875182422696,0.637353506743634
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES","Y",0.00644333112180913,8,0.327449519855673,0.217276766937003,1.50706182014671,0.131827440825804,0.327911255266938
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES","Y",0.00711795549368128,9,0.346610714509057,0.155160272944176,2.23388827521437,0.0255131709268659,0.139572052717561
"KEGG_PYRUVATE_METABOLISM","Y",0.013454894975383,18,0.0979327040921008,0.0800243009378222,1.22378706148515,0.221062349882612,0.436592028290215
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","Y",0.00741704442145425,9,0.00871538691407738,0.0906054577254778,0.0961905290571327,0.923371243680308,0.966052033137727
"KEGG_PROPANOATE_METABOLISM","Y",0.0107162581419154,14,0.177300275940864,0.105484812517557,1.68081330107455,0.0928314434362041,0.269791382486468
"KEGG_BUTANOATE_METABOLISM","Y",0.0121600474228814,16,0.0940460929157445,0.083169731389993,1.13077307505961,0.258178627367785,0.44879649243372
"KEGG_ONE_CARBON_POOL_BY_FOLATE","Y",0.00721131193374998,9,0.261759702218095,0.149762253261353,1.74783496186649,0.080524310592307,0.245533143773264
"KEGG_RIBOFLAVIN_METABOLISM","Y",0.0066680752683049,8,0.0701159885340354,0.112072998170702,0.625627846836396,0.531573817191143,0.681880896534846
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","Y",0.00809377871365239,10,0.0843048302208705,0.104155699545518,0.809411588503878,0.418298331317091,0.598488381730608
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","Y",0.0066906876600947,8,-0.00209127860767171,0.0934030873400577,-0.0223898231549657,0.982137459702628,0.987446310836155
"KEGG_FOLATE_BIOSYNTHESIS","Y",0.00361631444796211,4,0.0837867381483308,0.169103907206045,0.49547488010576,0.620276195736034,0.739560079531425
"KEGG_RETINOL_METABOLISM","Y",0.0131054585826504,18,0.274638529601365,0.102906405600675,2.66881860267369,0.00762454533308673,0.0709082715977066
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM","Y",0.00875309959346708,11,0.12641119799144,0.107851486362011,1.17208582148912,0.241191444420993,0.439753687987629
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","Y",0.00595072342045438,7,0.00663376050227235,0.102176611432496,0.0649244519784749,0.94823549232185,0.974429842938475
"KEGG_LIMONENE_AND_PINENE_DEGRADATION","Y",0.00503720771735476,6,0.291545560285486,0.185464347313914,1.5719763097757,0.115988724734591,0.308198611437627
"KEGG_NITROGEN_METABOLISM","Y",0.0115694260891894,15,-0.0107597437285183,0.0666783856263423,-0.161367789988417,0.871807101331185,0.921341595725003
"KEGG_SULFUR_METABOLISM","Y",0.00195906882192535,2,0.00252729357516088,0.189049655406264,0.0133684114352379,0.989334144081969,0.989334144081969
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","Y",0.0140098278620177,19,0.145088527976746,0.0857531782624158,1.69193178511421,0.0906911626117359,0.269791382486468
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","Y",0.0147241484573194,20,0.102423099087615,0.0758647873347017,1.3500742925139,0.177023716382203,0.378464497092986
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","Y",0.0140845828953907,19,0.10482977061059,0.0782340857102556,1.3399500953949,0.18029301924235,0.381073881580421
