"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","Y",0.0177474736118115,25,0.248469024010445,0.131068484322814,1.89571906087265,0.0580269570889783,0.282976638094258
"KEGG_CITRATE_CYCLE_TCA_CYCLE","Y",0.0102199679914863,13,-0.0099896264703591,0.137195413053603,-0.0728131228881252,0.941956332334956,0.952194988121205
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","Y",0.00943893970378155,12,0.234125212037802,0.191791580599968,1.2207272670959,0.222219031146284,0.470847668466003
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","Y",0.0027923832994865,3,0.215852546684743,0.359561499573723,0.600321633268986,0.548305956058141,0.728463627334388
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","Y",0.00944440232147612,12,0.225938797240998,0.185809806018766,1.21596810244869,0.22402672177319,0.470847668466003
"KEGG_GALACTOSE_METABOLISM","Y",0.00868307619519808,11,0.335136141469234,0.211879314805491,1.58173128781776,0.113743594088008,0.320504202694048
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","Y",0.00436283651813162,5,0.30822947839476,0.300162529099089,1.02687527094032,0.304504856138906,0.517682837421503
"KEGG_FATTY_ACID_METABOLISM","Y",0.0167191599629697,23,0.0378271071982877,0.109474146419825,0.345534616485828,0.729699998356105,0.832663801805125
"KEGG_STEROID_BIOSYNTHESIS","Y",0.00594648939847511,7,0.058294728034469,0.203161415652013,0.286937988925613,0.774165942806662,0.858933253372778
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","Y",0.00504269888946282,6,0.499147757723567,0.32027133134376,1.5585152615106,0.119143840685843,0.325893446581866
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","Y",0.0101696645420847,13,0.155508882539992,0.166356564335685,0.934792583394527,0.349918518000154,0.561076244379557
"KEGG_OXIDATIVE_PHOSPHORYLATION","Y",0.0273188975177575,41,0.0774213682402832,0.0860098711672121,0.900145148337312,0.36806540223981,0.575295502660544
"KEGG_PURINE_METABOLISM","Y",0.0472944467908162,79,0.0658799259155492,0.0613161997643967,1.07442937052016,0.282657062645464,0.503632343162688
"KEGG_PYRIMIDINE_METABOLISM","Y",0.0270133619981715,41,0.246220161916677,0.103758606790673,2.37300952212488,0.0176632239678434,0.131414386320755
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","Y",0.0141802220664269,19,0.0576069288482495,0.123272981449469,0.467311881086152,0.640287275013309,0.779835131660345
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","Y",0.0087655500848842,11,0.210331800863658,0.19068257160032,1.10304680232928,0.270034259590581,0.494415513187969
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","Y",0.0167135410127921,23,0.0525338910305458,0.111455664273473,0.471343393563615,0.637406153689855,0.779835131660345
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","Y",0.0154653063668379,21,-0.0271864456715932,0.105696098393673,-0.257213332230442,0.797019558958819,0.861893243990351
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","Y",0.00594197404316748,7,-0.0740975824766485,0.172455336144986,-0.429662451351191,0.667450763511299,0.785844978711892
"KEGG_LYSINE_DEGRADATION","Y",0.0185540056430155,26,-0.0628873294883677,0.0910246748534605,-0.690882220558428,0.489656124711481,0.684782249596508
"KEGG_ARGININE_AND_PROLINE_METABOLISM","Y",0.0158629455583332,22,0.283210412798785,0.150592928886535,1.88063553111561,0.0600515078790165,0.282976638094258
"KEGG_HISTIDINE_METABOLISM","Y",0.00934493579312995,12,0.359681134550693,0.20820613241805,1.72752421061499,0.0841054542035821,0.282976638094258
"KEGG_TYROSINE_METABOLISM","Y",0.0097459896414139,13,0.643542866796666,0.238852741946829,2.69430805588124,0.00706566091584196,0.078804585547871
"KEGG_PHENYLALANINE_METABOLISM","Y",0.00485729792489335,6,0.904786301078888,0.46135116574583,1.96116617504627,0.0498882635505227,0.250789649199925
"KEGG_TRYPTOPHAN_METABOLISM","Y",0.0100087143060521,13,0.368140465289378,0.19874694250639,1.85230756582603,0.0640120889230954,0.282976638094258
"KEGG_BETA_ALANINE_METABOLISM","Y",0.00951533485775864,12,0.0919304863809875,0.161277323798011,0.570014954465168,0.568680782630667,0.744703295883369
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM","Y",0.00363001026201213,4,0.0481769234866679,0.265189765870702,0.181669618088345,0.855845813816839,0.891858830407909
"KEGG_SELENOAMINO_ACID_METABOLISM","Y",0.0108691126302872,14,0.111770004515355,0.152667549330159,0.732113700689864,0.464116894776186,0.653982897184625
"KEGG_GLUTATHIONE_METABOLISM","Y",0.0172830369481369,24,0.126012830614578,0.118349847766473,1.0647485653148,0.287016281587338,0.503632343162688
"KEGG_STARCH_AND_SUCROSE_METABOLISM","Y",0.0115675743178336,15,0.0329292045991683,0.134629911700908,0.244590553340951,0.806778662938445,0.867403649170813
"KEGG_N_GLYCAN_BIOSYNTHESIS","Y",0.0214564309417295,31,0.162188110249259,0.108294174830365,1.49766236737401,0.134253596483938,0.342070807479622
"KEGG_OTHER_GLYCAN_DEGRADATION","Y",0.00562943215461273,7,0.766410304901254,0.367201018863058,2.08716824172831,0.0368990182512322,0.21499006338349
"KEGG_O_GLYCAN_BIOSYNTHESIS","Y",0.0122353484573595,16,0.00400398924040474,0.125862907827784,0.0318123052256453,0.974622389249227,0.979890618380304
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","Y",0.0140818062268047,19,0.195653306917129,0.141789637316388,1.37988438802866,0.167654110693362,0.38556422548898
