"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","Y",0.0157278908101291,11,0.192868004902535,0.204573293875804,0.942781930370759,0.345838633885387,0.880729362156101
"KEGG_CITRATE_CYCLE_TCA_CYCLE","Y",0.0065656423090376,4,0.104906323746567,0.291033554076695,0.360461267359301,0.718517652934635,0.881246675665068
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","Y",0.0119812506138434,8,0.151427634706997,0.231521845998678,0.654053331571405,0.513107941425003,0.881246675665068
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","Y",0.00654699797131212,4,-0.115640472116838,0.18641956295497,-0.620323695023203,0.535073358749004,0.881246675665068
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","Y",0.0120048348126714,8,0.108787938210717,0.207433571704557,0.524447114884861,0.59999116313857,0.881246675665068
"KEGG_GALACTOSE_METABOLISM","Y",0.0118884161186292,8,0.289323581433526,0.276271141093513,1.04724503720638,0.29503789683403,0.873284523207236
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","Y",0.00346332377805944,2,0.647114837059241,0.749618365088688,0.863259049133195,0.388037030597763,0.880729362156101
"KEGG_FATTY_ACID_METABOLISM","Y",0.0194696808487225,14,0.0292333902519261,0.134548298691455,0.217270604951786,0.828006451048929,0.916721427947028
"KEGG_STEROID_BIOSYNTHESIS","Y",0.0104604666210806,7,0.487292166818186,0.363401570188004,1.34091926616082,0.180008418109396,0.773570465375082
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","Y",0.00653156513427158,4,0.217854922900989,0.35316822239247,0.6168587916126,0.537356343008371,0.881246675665068
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","Y",0.0156324722813711,11,0.292839572506209,0.235955760486698,1.24107829324522,0.214635853974296,0.814740180392228
"KEGG_OXIDATIVE_PHOSPHORYLATION","Y",0.0284943223281158,22,-0.0844554278526658,0.0846521825362486,-0.997675728165679,0.318485571263261,0.880729362156101
"KEGG_PURINE_METABOLISM","Y",0.0460635246058522,39,-0.0579561624403985,0.067368480817313,-0.860286023037414,0.38967321165618,0.880729362156101
"KEGG_PYRIMIDINE_METABOLISM","Y",0.0328986678785515,26,-0.00253977790406776,0.0925302512214259,-0.0274480817953259,0.978103459458595,0.988735018800536
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","Y",0.0158334655956815,11,-0.0341603666639157,0.13280918472924,-0.257213887228951,0.797024394019021,0.905122843008631
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","Y",0.00936421455530857,6,0.0782591178490545,0.226055630960409,0.346194065224417,0.729211641795205,0.881246675665068
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","Y",0.0158340589842286,11,-0.0326068741661726,0.133259906139762,-0.244686305961936,0.806709511100991,0.905122843008631
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","Y",0.019435092582103,14,0.0893368821456142,0.15210869914462,0.587322636035928,0.557013926909259,0.881246675665068
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","Y",0.00187769744728012,1,0.595808748540335,0.946499933322534,0.629486307990372,0.529059887056835,0.881246675665068
"KEGG_LYSINE_DEGRADATION","Y",0.0131545212632778,9,-0.163274004148673,0.115338776024293,-1.41560375249937,0.156954694217302,0.773570465375082
"KEGG_ARGININE_AND_PROLINE_METABOLISM","Y",0.0158250033203398,11,-0.0508636225458833,0.128100069797571,-0.397061630225962,0.691339194688417,0.881246675665068
"KEGG_HISTIDINE_METABOLISM","Y",0.0132722907602288,9,0.138633885429145,0.206311850474406,0.671962784058994,0.501638863869396,0.881246675665068
"KEGG_TYROSINE_METABOLISM","Y",0.0145422435494546,10,0.125762616346614,0.191317557564177,0.657350103920427,0.51098650158809,0.881246675665068
"KEGG_PHENYLALANINE_METABOLISM","Y",0.00504595002487902,3,0.321718733770001,0.471316831892978,0.682595468695363,0.494894556618643,0.881246675665068
"KEGG_TRYPTOPHAN_METABOLISM","Y",0.0182668815742125,13,0.0488800224158604,0.145369782588035,0.336246099744002,0.736699596435604,0.881246675665068
"KEGG_BETA_ALANINE_METABOLISM","Y",0.00509328010103619,3,0.134696656197028,0.35442969797892,0.380037725295352,0.70393377588604,0.881246675665068
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM","Y",0.00357050357976917,2,0.0322438034949246,0.357617060560528,0.0901629341854823,0.928161399767317,0.96810629881829
"KEGG_SELENOAMINO_ACID_METABOLISM","Y",0.019372613069427,14,-0.108913133524879,0.100168195403202,-1.08730254235365,0.276956258716847,0.863875272798588
"KEGG_GLUTATHIONE_METABOLISM","Y",0.0119447564595936,8,-0.132224398862276,0.128426963892827,-1.02956882927341,0.303262941099653,0.880729362156101
"KEGG_STARCH_AND_SUCROSE_METABOLISM","Y",0.0132745521815628,9,0.135099114667619,0.207045950773224,0.65250788128473,0.51410400061939,0.881246675665068
