"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"GO_MITOCHONDRIAL_GENOME_MAINTENANCE","Y",0.00895059185996928,10,-0.0344407166562405,0.115682024212704,-0.297718827887335,0.765924907180315,0.944990114381969
"GO_REPRODUCTION","Y",0.27070777804466,666,-0.0293082610266039,0.0149528855900927,-1.96004047847611,0.0500230498006862,0.27194871223302
"GO_SINGLE_STRAND_BREAK_REPAIR","Y",0.00487134727992109,5,0.0599358544172317,0.186179250075884,0.321925533553298,0.747516872106857,0.937708343956473
"GO_REGULATION_OF_DNA_RECOMBINATION","Y",0.0312617641243012,43,0.0145186286159697,0.0597475119465219,0.242999719033737,0.80801136492592,0.951080242615333
"GO_REGULATION_OF_MITOTIC_RECOMBINATION","Y",0.00113964051613156,1,0.298386363125697,0.499318200025137,0.597587596668167,0.550130753098627,0.84325284830575
"GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY","Y",0.0096606255439309,11,0.14376868396144,0.137686150042581,1.04417680294625,0.296432716166023,0.680887157878463
"GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","Y",0.00551702037640691,6,0.408867791052146,0.241957667887032,1.68983192234702,0.0910960744168094,0.389977711451949
"GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","Y",0.0127051323036734,15,-0.0629780567438505,0.0908413906279628,-0.693274908150345,0.488155621876864,0.814453078756002
"GO_TRANSITION_METAL_ION_TRANSPORT","Y",0.0394459217711187,57,-0.0742492227937828,0.0461494957879375,-1.60888481068064,0.107677948558667,0.421418658622629
"GO_UREA_CYCLE","Y",0.0043018901882698,5,0.99987925809427,0.522209743815897,1.91470816072473,0.0555626134839685,0.29059093364233
"GO_CITRULLINE_METABOLIC_PROCESS","Y",0.00310286838182157,3,-0.0209243090290164,0.215052612240006,-0.0972985578322764,0.922491550811644,0.995640527454913
"GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS","Y",0.00485808638463833,5,0.110085398992076,0.196060957854718,0.561485571613138,0.574481079527659,0.85623798765262
"GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS","Y",0.00309975793422983,3,0.0586412754194786,0.238637206872367,0.245734000108551,0.805893968717711,0.950184497135252
"GO_MITOTIC_SISTER_CHROMATID_SEGREGATION","Y",0.044583951305443,66,-0.0675742531663935,0.0431664557986197,-1.56543436138563,0.117517601005237,0.444144402812149
"GO_CELL_CYCLE_CHECKPOINT","Y",0.0592734856427862,93,-0.0327109342474637,0.0382444783589544,-0.855311293317847,0.392402477583304,0.759187539531993
"GO_DNA_REPLICATION_CHECKPOINT","Y",0.00891538775886609,10,0.111613696059558,0.139820472372215,0.79826433258237,0.424738980791636,0.779480039765963
"GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE","Y",0.0162445280239021,20,0.100484025995721,0.0988815269545897,1.01620625298259,0.309559542603861,0.691894528611724
