"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"GO_MITOCHONDRIAL_GENOME_MAINTENANCE","Y",0.00942594154967179,15,-0.0434609917169835,0.0624408418461825,-0.696034685503534,0.486420331410786,0.777270988455994
"GO_REPRODUCTION","Y",0.269339170971925,933,-0.0194334151517454,0.00886301291517671,-2.19264208883959,0.0283519425307676,0.159398114911286
"GO_SINGLE_STRAND_BREAK_REPAIR","Y",0.0054456269635579,8,-0.0229728699431727,0.0902275089907671,-0.254610486315471,0.799028238926499,0.929335373298698
"GO_REGULATION_OF_DNA_RECOMBINATION","Y",0.0348249546358591,69,-0.000749703805780788,0.0327328141431485,-0.022903738202959,0.981727432086314,0.994997570020028
"GO_REGULATION_OF_MITOTIC_RECOMBINATION","Y",0.00222793437333302,3,0.276312679359565,0.262446927829331,1.0528325922689,0.292438519748566,0.615347849418141
"GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY","Y",0.00990745323110452,16,0.116777904614527,0.0895697719441817,1.30376467506583,0.192338363948774,0.495434840198662
"GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","Y",0.00473708438268832,7,0.238638697583276,0.166089906191989,1.43680433720895,0.150799171919977,0.434200219152428
"GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","Y",0.0136754783232709,23,-0.0110648646351026,0.0550454414119601,-0.201013278325687,0.840691533299465,0.944684998880166
"GO_TRANSITION_METAL_ION_TRANSPORT","Y",0.0414093500313938,85,-0.0270317057372432,0.0275182335318116,-0.982319802831607,0.325961748656598,0.648583374297534
"GO_UREA_CYCLE","Y",0.00359554494006883,5,0.0257899064706691,0.129908314230551,0.198523909908485,0.842638478634169,0.944818063176867
"GO_CITRULLINE_METABOLIC_PROCESS","Y",0.00281316791757641,4,-0.17893261566378,0.0844342464077345,-2.11919479685661,0.0340940983685716,0.178065246169098
