"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","Y",0.0216608943840505,53,0.0816279343033332,0.0323356184826515,2.52439687668655,0.0115991189697834,0.0913717220191891
"KEGG_CITRATE_CYCLE_TCA_CYCLE","Y",0.0114135220929684,25,0.0606290346864253,0.0449407261039887,1.34908889870037,0.177327163703068,0.459694232790451
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","Y",0.0113510995889862,25,0.0907819122335898,0.0489850032167117,1.85325928901069,0.0638632716266101,0.23757137045099
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","Y",0.0106551139651455,23,0.0342206906470949,0.0435710478210269,0.785399763339644,0.432230641429937,0.699703548445785
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","Y",0.0129418831767503,29,0.0754440598624018,0.0433156075073394,1.74172923350131,0.0815747087314859,0.270944568286721
"KEGG_GALACTOSE_METABOLISM","Y",0.0102615865546354,22,0.0236485526643855,0.0432613974664276,0.546643290539508,0.584631308329584,0.785021283439697
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","Y",0.00973975237396861,21,0.100855939079814,0.0531911578892292,1.8961034706153,0.0579640411025699,0.220026768266898
"KEGG_FATTY_ACID_METABOLISM","Y",0.0156254315276374,36,0.0620179113675943,0.0378122388586331,1.640154437812,0.100992366492439,0.318382714704978
"KEGG_STEROID_BIOSYNTHESIS","Y",0.00691584748070592,14,0.0289142399394751,0.0550335695256943,0.525392777329762,0.599317323916328,0.785021283439697
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","Y",0.00647565449871913,13,-0.0323716552718309,0.0465686687832743,-0.695138085704901,0.486978683400485,0.724624280899921
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","Y",0.0171863391906533,40,0.0250588865869219,0.0321948994338508,0.778349584175876,0.436374256019952,0.699703548445785
"KEGG_OXIDATIVE_PHOSPHORYLATION","Y",0.0372772329560418,100,0.0372385500877328,0.0212534736959167,1.75211594210537,0.079772686538787,0.269776721749353
"KEGG_PURINE_METABOLISM","Y",0.0449720680197418,125,0.018616909120637,0.017921494317792,1.03880339387518,0.29891160001194,0.59146337874703
"KEGG_PYRIMIDINE_METABOLISM","Y",0.0296920099176242,76,0.000338790556265816,0.02164376558348,0.0156530320456069,0.987511389080526,0.992849288480961
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","Y",0.0122651941714613,27,-0.00564709253610947,0.0355434748998771,-0.158878459464553,0.873766601395295,0.941405243322553
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","Y",0.0121967058938658,27,0.0617818680692959,0.0434220155919372,1.42282358907282,0.154806449241385,0.417304341433299
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","Y",0.0130242688079317,29,-0.0283650762488887,0.031685811945203,-0.895198024211685,0.370694466888158,0.65171598084639
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","Y",0.0171636191013963,40,0.0378352509487134,0.0335056774439204,1.1292191006148,0.258822045281869,0.545248579044214
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","Y",0.00464637572893776,9,0.0962523860196366,0.0827784082678227,1.16277164581638,0.244939196355564,0.529752215373662
