"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","Y",0.0218129435874108,53,-0.0620082248289934,0.0416611635338897,-1.488393975808,0.136666380503051,0.529582224449321
"KEGG_CITRATE_CYCLE_TCA_CYCLE","Y",0.0114495527460394,25,-0.0556900281446841,0.0606546246112806,-0.918149745408314,0.35855406726587,0.849973919657396
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","Y",0.0114690557344849,25,-0.0277351684533453,0.0604473948324442,-0.458831493569329,0.64636129824733,0.923672289482144
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","Y",0.010674951319845,23,-0.0066835268372617,0.0626412097452091,-0.106695366587694,0.915031972319773,0.999493865553512
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","Y",0.0129781250330921,29,-0.0845250844878651,0.0557343162610419,-1.51657165922654,0.129394268175276,0.529582224449321
"KEGG_GALACTOSE_METABOLISM","Y",0.0102399735945531,22,-0.0651363954261463,0.064495041814603,-1.00994423126954,0.312537009473149,0.841263956257416
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","Y",0.00984181433268928,21,-0.0565633902461851,0.0657037771453551,-0.860884909569979,0.389314103433895,0.858111687875921
"KEGG_FATTY_ACID_METABOLISM","Y",0.0156298508711835,36,-0.0858706330954852,0.0503742833874655,-1.70465220189816,0.0882783765004167,0.509714544816475
"KEGG_STEROID_BIOSYNTHESIS","Y",0.0069222521659341,14,0.0230369825940785,0.0793570863246892,0.29029521698696,0.771594092614578,0.978066270061029
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","Y",0.00648677679005821,13,-0.0241447986316187,0.0836984508164583,-0.288473662249325,0.77298785859662,0.978066270061029
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","Y",0.017205821965354,40,-0.00196483882034808,0.0474618734172153,-0.0413982567244258,0.966978909860532,0.999493865553512
"KEGG_OXIDATIVE_PHOSPHORYLATION","Y",0.0373785520235295,100,-0.00534953793468387,0.0301035062646953,-0.177704812444313,0.858957015018205,0.994145842433158
"KEGG_PURINE_METABOLISM","Y",0.0449938487475806,125,0.0172267831336884,0.0267428732746297,0.644163510658781,0.519478478916684,0.898692689766909
"KEGG_PYRIMIDINE_METABOLISM","Y",0.0296662673567633,76,0.0313199074684782,0.0340386177963299,0.920128650813053,0.357519158024566,0.849973919657396
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","Y",0.0120967940542056,27,0.12990776474705,0.0529769925491442,2.45215438808725,0.0142107886011455,0.188800477129505
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","Y",0.0122654122140402,27,-0.00771657451154512,0.0578427415562972,-0.13340609908738,0.893873869938219,0.994145842433158
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","Y",0.0128227570797782,29,0.143585293586207,0.0507494349462362,2.82929837028374,0.0046707197576349,0.0868753874920091
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","Y",0.0171813627078043,40,0.0419471301992897,0.0464976095993177,0.902135197072695,0.366998391234718,0.849973919657396
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","Y",0.00468893275409735,9,0.0467428400766852,0.0979707642850663,0.477110089094306,0.633290130820645,0.923672289482144
"KEGG_LYSINE_DEGRADATION","Y",0.0175409890554727,41,0.0478597775942856,0.0459149758793763,1.04235658796857,0.297261853429783,0.841263956257416
"KEGG_ARGININE_AND_PROLINE_METABOLISM","Y",0.0186654411051567,44,0.0147807052695023,0.0449942955860912,0.328501759544634,0.742536536318783,0.965816753533522
"KEGG_HISTIDINE_METABOLISM","Y",0.0121730939421693,27,-0.101609490252324,0.0587994685836043,-1.72806817306266,0.08399495256205,0.509714544816475
"KEGG_TYROSINE_METABOLISM","Y",0.014473752156555,33,-0.100575014587556,0.0526365995863766,-1.9107430072969,0.0560551494510848,0.477344064649899
"KEGG_PHENYLALANINE_METABOLISM","Y",0.00727469556935743,15,-0.127469937788356,0.0783474039642219,-1.6269835545102,0.103759930416603,0.509714544816475
"KEGG_TRYPTOPHAN_METABOLISM","Y",0.0138065224383213,31,-0.0359928100402572,0.0543409072735952,-0.662352026237635,0.507755011158661,0.898692689766909
"KEGG_BETA_ALANINE_METABOLISM","Y",0.00945263776238426,20,-0.0167638389505544,0.0673526793990432,-0.24889639284035,0.803444063222601,0.994145842433158
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM","Y",0.00466415112514216,9,-0.102701529197353,0.100690615263675,-1.01997121507711,0.307757258983479,0.841263956257416
"KEGG_SELENOAMINO_ACID_METABOLISM","Y",0.0110703778269538,24,-0.0279406871183604,0.0616770677567089,-0.453015815028288,0.650543386678284,0.923672289482144
"KEGG_GLUTATHIONE_METABOLISM","Y",0.0168226118225511,39,-0.0323902197573063,0.048462180883234,-0.668360754035154,0.50391281021113,0.898692689766909
"KEGG_STARCH_AND_SUCROSE_METABOLISM","Y",0.0182931553139024,43,-0.0288208654943269,0.0460578037990623,-0.625754228752733,0.531484924055699,0.898692689766909
"KEGG_N_GLYCAN_BIOSYNTHESIS","Y",0.0182456529622352,43,-0.0643588175722281,0.0462667550543418,-1.39103806819036,0.164232880663464,0.598966976537341
"KEGG_OTHER_GLYCAN_DEGRADATION","Y",0.00648212257831146,13,-0.0406051283710549,0.0839151790772221,-0.483882997302412,0.628475411904054,0.923672289482144
"KEGG_O_GLYCAN_BIOSYNTHESIS","Y",0.0109976278708333,24,0.0954902486887538,0.059201832258349,1.6129610359363,0.106772342559679,0.509714544816475
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","Y",0.0153421325390501,35,0.00393166264943213,0.0506354550109342,0.0776464366437138,0.938110256325192,0.999493865553512
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","Y",0.00901798485452392,19,0.0594647173603652,0.0669880245361271,0.88769175941732,0.37471968501025,0.849973919657396
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","Y",0.010271186311895,22,0.002150313447671,0.0638791873477321,0.0336621916613556,0.973146940956138,0.999493865553512
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE","Y",0.00670267578338822,14,-0.217295820613954,0.0738542678034708,-2.94222428949113,0.00326322822384914,0.080432262980609
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","Y",0.0110526356648876,24,0.0534523204895873,0.0598450186004805,0.893179110636255,0.37177445655571,0.849973919657396
"KEGG_GLYCEROLIPID_METABOLISM","Y",0.0179158590421271,42,0.0408414308131202,0.0455667932639991,0.896298112893272,0.370106810549311,0.849973919657396
"KEGG_INOSITOL_PHOSPHATE_METABOLISM","Y",0.0189078771007828,46,-0.177680770318005,0.04340614696774,-4.0934471896356,4.27055911161418e-05,0.00264774664920079
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","Y",0.0106593209058266,23,-0.0454606266311235,0.0629535335265504,-0.722129864433275,0.470225003644295,0.892467864059581
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","Y",0.0270305143962225,68,-0.0073983003175952,0.0364918806660803,-0.20273825800576,0.839342150347426,0.994145842433158
"KEGG_ETHER_LIPID_METABOLISM","Y",0.0126273616635222,28,-0.0568575454329354,0.0573060519471912,-0.992173487807727,0.32112763921654,0.841263956257416
"KEGG_ARACHIDONIC_ACID_METABOLISM","Y",0.018661230087858,44,-0.0224705740650746,0.0455080491045784,-0.493771420819133,0.621474275675561,0.923672289482144
"KEGG_LINOLEIC_ACID_METABOLISM","Y",0.0098641900658736,21,-0.00467529012867036,0.0655188094549941,-0.0713579835708384,0.943113724512194,0.999493865553512
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM","Y",0.00769583966517396,16,-0.127789243842609,0.0749375072518457,-1.70527748425288,0.0881617490653451,0.509714544816475
"KEGG_SPHINGOLIPID_METABOLISM","Y",0.0141976731808545,32,0.0228677159456729,0.0525957423304665,0.434782644610124,0.66372596257305,0.929616819894337
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES","Y",0.00920953846208729,20,-0.191351853894138,0.0731755418071006,-2.614970100236,0.00893174578537787,0.127792670467714
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES","Y",0.0059980261210449,12,-0.11304084912829,0.0868009412142819,-1.30229980858422,0.192832327991697,0.689746403970301
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES","Y",0.00648833150643312,13,-0.0151309320693903,0.0834674361950217,-0.181279463694522,0.856150479759741,0.994145842433158
"KEGG_PYRUVATE_METABOLISM","Y",0.0153327737567403,35,0.0280839113284674,0.0501370765324301,0.56014257852274,0.575389892093924,0.92075972396824
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","Y",0.00729026320860641,15,0.109410346563355,0.0733010734266845,1.49261588471534,0.135557127674226,0.529582224449321
"KEGG_PROPANOATE_METABOLISM","Y",0.013038910864053,29,-0.0291828722912545,0.0560494420790879,-0.520663029082009,0.602608609553288,0.923672289482144
"KEGG_BUTANOATE_METABOLISM","Y",0.0134161684229512,30,0.0420718106450439,0.0537467526909447,0.782778652451167,0.433768483854033,0.886603714251101
"KEGG_ONE_CARBON_POOL_BY_FOLATE","Y",0.00734254866655316,15,0.0503881455429918,0.075778422958172,0.664940540802822,0.506097936831271,0.898692689766909
"KEGG_RIBOFLAVIN_METABOLISM","Y",0.006048173143983,12,0.0152809987570626,0.0860461523213527,0.177590727125059,0.859046615398609,0.994145842433158
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","Y",0.00984703692930863,21,0.0485239571878444,0.0639806235065014,0.758416447487631,0.44821268612465,0.888639012456179
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","Y",0.00639264914795955,13,-0.149345945647465,0.0831578730960692,-1.79593272515438,0.0725237399593528,0.509714544816475
"KEGG_FOLATE_BIOSYNTHESIS","Y",0.00515287891197734,10,0.00153933305562142,0.0947317601165118,0.0162493872564826,0.987035634307279,0.999493865553512
"KEGG_RETINOL_METABOLISM","Y",0.0201050133242033,48,-0.0160399311365105,0.043496078279113,-0.368767295147455,0.712305975997326,0.933748548143137
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM","Y",0.0156876877620772,36,-0.0503903445351328,0.0503481954779343,-1.00083715129804,0.316920410460689,0.841263956257416
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","Y",0.00603152543382383,12,0.064404251801444,0.0840867434072186,0.765926342152943,0.443731227906179,0.888639012456179
"KEGG_LIMONENE_AND_PINENE_DEGRADATION","Y",0.00469581474675353,9,-0.000106433696229155,0.0999057806096054,-0.0010653407198234,0.999149994292656,0.999493865553512
"KEGG_NITROGEN_METABOLISM","Y",0.0101833114076466,22,0.104775323228538,0.0613533087987966,1.70773712583523,0.0877041827300072,0.509714544816475
"KEGG_SULFUR_METABOLISM","Y",0.00462719477469566,9,-0.15117091468148,0.0977329019870852,-1.54677607650959,0.121936675380844,0.529582224449321
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","Y",0.0145625527441964,33,0.04407240597354,0.0512976280997857,0.85915095114747,0.390269881485534,0.858111687875921
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","Y",0.0200839277134258,48,-0.0395711183965515,0.0436646130267917,-0.906251439175047,0.36481618544441,0.849973919657396
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","Y",0.0214852411424916,52,-0.0501684342841445,0.0420435843126259,-1.19324827091582,0.232789532064478,0.759628999368297
