"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"GO_MITOCHONDRIAL_GENOME_MAINTENANCE","Y",0.0109616758190229,13,-0.0893213100117742,0.14710752042032,-0.607183845914624,0.543744380416568,0.944048784762284
"GO_REPRODUCTION","Y",0.264490766682999,662,0.0209931850959562,0.0239170180060719,0.877750942472283,0.380102554110127,0.889804217086859
"GO_SINGLE_STRAND_BREAK_REPAIR","Y",0.00639930850832179,7,-0.00297888144802712,0.219192171948755,-0.0135902729625014,0.989157169012409,0.99999999999224
"GO_REGULATION_OF_DNA_RECOMBINATION","Y",0.0369581082342351,54,-0.0403899644365083,0.0761699845213821,-0.530260898571802,0.595944264172038,0.956318244805003
"GO_REGULATION_OF_MITOTIC_RECOMBINATION","Y",0.00298021153741487,3,0.383082485790174,0.427905510159663,0.895250181861962,0.370677543172831,0.882137952714076
"GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY","Y",0.00865018407409612,10,0.276079753093438,0.22600227706222,1.22157951982683,0.221898989571562,0.768934776204906
"GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","Y",0.00624653378131246,7,0.466575006880533,0.310713249319371,1.50162572050784,0.1332292253023,0.673597304746333
"GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","Y",0.0131294131165253,16,0.0730421615369797,0.15577178862315,0.468904942175933,0.639149053249317,0.957735509537671
"GO_TRANSITION_METAL_ION_TRANSPORT","Y",0.0409243764476629,61,0.0229218333424008,0.0764071428925198,0.299995948999747,0.76418724238151,0.979412780886068
"GO_UREA_CYCLE","Y",0.00558321528726083,6,0.0797702904113468,0.255884453447909,0.311743403463883,0.755242831758424,0.977472665294321
"GO_CITRULLINE_METABOLIC_PROCESS","Y",0.00302735171804497,3,-0.0293575386887483,0.325749206417875,-0.0901231318767608,0.928191392713695,0.99639152853203
"GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS","Y",0.0038920777189091,4,0.171968615524519,0.334386203399701,0.514281431997241,0.607067993637621,0.957735509537671
"GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS","Y",0.00389514912730806,4,0.152748668382296,0.330139228471527,0.462679546109951,0.643605377811053,0.957735509537671
"GO_MITOTIC_SISTER_CHROMATID_SEGREGATION","Y",0.0501748585513435,78,0.0116449097503832,0.0668886815314418,0.174093874834554,0.861795641154616,0.98530937464876
"GO_CELL_CYCLE_CHECKPOINT","Y",0.0648423586112353,107,-0.0937696727785435,0.0513789832373767,-1.82505894181123,0.068025591467272,0.532872739376915
