ID,cell_line,Irradiation,Messung,hsa-let-7c-5p  ,hsa-let-7f-5p  ,hsa-let-7i-5p  ,hsa-mir-7-5p  ,hsa-mir-9-5p  ,hsa-mir-15a-5p  ,hsa-mir-19b-3p  ,hsa-mir-21-5p  ,hsa-mir-22-3p  ,hsa-mir-23a-3p  ,hsa-mir-23b-3p  ,hsa-mir-24-3p  ,hsa-mir-26a-5p  ,hsa-mir-26b-5p  ,hsa-mir-29a-3p  ,hsa-mir-29b-3p  ,hsa-mir-29c-3p  ,hsa-mir-30a-3p  ,hsa-mir-30b-5p  ,hsa-mir-30d-5p  ,hsa-mir-31-5p  ,hsa-mir-32-5p  ,hsa-mir-34a-5p  ,hsa-mir-34c-5p  ,hsa-mir-92a-3p  ,hsa-mir-125b-5p  ,hsa-mir-126-3p  ,hsa-mir-130a-3p  ,hsa-mir-135b-5p  ,hsa-mir-146a-5p  ,hsa-mir-148a-3p  ,hsa-mir-155-5p  ,hsa-mir-181a-3p  ,hsa-mir-181a-5p  ,hsa-mir-183-5p  ,hsa-mir-200a-3p  ,hsa-mir-200b-3p  ,hsa-mir-203a-3p  ,hsa-mir-205-5p  ,hsa-mir-221-3p  ,hsa-mir-296-5p  ,hsa-mir-378i  ,hsa-mir-424-5p  ,hsa-mir-495-3p  ,hsa-mir-503-5p  ,hsa-mir-16-5p  ,hsa-mir-101-3p  ,hsa-mir-378g  ,hsa-mir-382-5p  ,hsa-mir-1246  ,hsa-mir-4454  
170419_Met-1_K01,Met-1,control,170419,995.769,889.549,550.726,110.244,0.254,291.526,364.904,1912.144,1072.084,1209.977,878.801,1090.662,444.074,132.235,625.771,611.376,299.443,17.974,461.475,36.611,412.954,17.083,37.621,1.799,255.453,-0.198,7.22,447.644,69.402,138.34,224.58,54.606,10.291,463.369,11.031,213.553,153.356,4.487,2131.628,471.566,5.288,-2.79,71.579,-1.877,1.41,1282.174,0.0138,0.168,-0.239,0.247,-0.215
170419_SCC-13_K01,SCC-13,control,170419,710.814,903.177,295.167,82.939,5.732,236.375,730.67,1180.573,965.784,1194.544,771.108,938.364,199.455,75.177,902.84,1140.164,342.498,3.964,556.023,14.01,59.828,11.419,13.086,3.007,359.927,-3.737,6.63,709.407,76.341,-3.215,86.088,5.37,-4.689,15.046,17.046,107.031,90.59,261.438,1410.938,493.909,-6.197,3.807,95.506,2.667,8.543,1113.909,-1.005,1.332,0.527,-0.17,-0.303
170419_Met-1_K02,Met-1,control,170419,1041.646,939.591,582.773,216.381,0.219,338.054,330.996,1773.778,1015.91,1114.612,877.926,906.293,329.807,119.367,622.14,799.069,326.969,16.095,497.621,30.859,331.236,19.218,42.408,1.499,258.031,0.658,5.596,443.177,98.781,110.424,177.676,65.828,12.912,451.93,13.065,215.432,164.354,5.74,2076.738,477.448,9.04,-1.986,81.783,-1.405,3.742,1218.853,0.284,-0.144,-0.0139,-0.0528,-0.216
170419_SCC-13_K02,SCC-13,control,170419,1202,1463.272,326.337,84.256,5.515,184.54,620.341,1209.964,732.581,1418.841,967.195,689.859,206.134,112.901,779.176,1043.292,412.58,-1.916,570.549,6.446,32.495,9.304,6.4,-3.035,377.202,-6.719,1.456,629.078,87.354,-5.595,67.505,-0.591,-7.883,7.939,20.22,97.348,98.43,237.321,1203.708,495.266,-10.132,-2.698,112.636,-0.318,0.339,990.941,-1.358,0.597,-0.305,0.397,-0.744
170419_Met-1_irr1,Met-1,KAUVIR,170419,805.048,742.595,611.545,202.856,0.879,299.969,330.771,1997.54,1195.795,1156.966,761.174,1030.768,312.001,109.664,755.333,871.524,307.907,21.439,408,29.217,294.622,12.466,31.415,3.926,244.831,-0.287,4.345,481.414,72.766,189.333,171.776,63.579,10.713,456.267,13.024,236.949,131.602,3.089,2217.925,506.812,8.896,-2.952,77.113,-2.111,5.721,1449.721,-0.256,-0.102,-0.0683,0.298,-0.224
170419_SCC-13_irr1,SCC-13,KAUVIR,170419,587.582,757.676,323.72,60.281,9.981,248.938,633.471,1378.639,1022.28,1119.364,695.674,892.583,222.338,73.714,889.658,1102.434,375.014,7.889,645.196,25.029,61.775,11.306,12.285,6.17,431.781,-2.281,10.953,658.895,97.916,-1.757,63.882,10.938,-2.775,23.783,26.521,135.811,87.978,351.335,1079.372,583.302,-4.349,8.799,122.717,14.486,4.769,1001.788,-0.36,3.275,4.247,0.517,-0.0677
170419_ Met-1_irr2,Met-1,KAUVIR,170419,990.84,748.152,667.529,136.688,-0.682,298.255,307.999,1558.555,1191.23,1147.041,938.604,964.606,341.552,72.426,661.965,677.775,331.06,15.462,438.142,25.622,365.953,3.402,49.451,1.936,223.086,-1.357,4.583,523.711,18.08,151.655,156.442,54.609,9.238,426.297,15.099,176.998,149.46,5.298,2479.221,505.424,8.067,-3.476,9.279,-2.236,4.9,1258.358,-0.413,-0.41,-0.172,-0.129,-0.282
170419_SCC-13_irr2,SCC-13,KAUVIR,170419,551.08,727.358,349.453,87.927,14.321,262.231,867.347,1337.329,1119.142,1083.04,642.839,924.801,269.748,84.419,879.98,1302.092,285.754,12.828,571.849,23.042,51.187,23.293,11.334,8.566,623.525,-1.689,10.154,730.545,106.881,-1.787,91.388,9.872,-2.252,32.736,24.936,128.067,91.643,309.44,1097.524,687.031,-4.178,6.043,137.384,15.843,9.855,1241.552,-0.17,2.324,3.334,0.936,-0.213
170419_Met-4_K01,Met-4,control,170419,596.064,730.646,494.559,187.551,4.814,417.801,330.047,2098.173,1092.766,1035.431,772.096,873.916,344.734,92.965,862.713,964.237,266.717,5.71,588.447,24.038,311.47,22.909,49.441,-1.286,218.048,-1.503,12.715,338.644,66.084,0.424,212.17,45.508,5.388,464.03,20.375,181.089,157.51,47.539,2186.996,408.299,2.958,-4.129,89.54,1.575,1.697,1308.376,-0.328,-0.59,2.279,-0.0182,-0.291
170419_SCL-II_K02A,SCL-II,control,170419,866.564,1122.911,434.263,147.426,-0.68,453.729,457.087,972.875,833.508,1339.026,1024.648,1189.226,319.487,100.588,339.389,324.461,168.019,0.338,581.127,10.965,80.108,37.545,35.195,47.781,361.97,-5.048,5.296,400.092,162.94,13.684,166.186,-3.23,-4.813,99.332,5.15,180.568,146.007,26.744,4217.086,377.002,-8.214,-1.732,39.028,-4.871,-5.035,1947.378,-0.71,0.956,-0.676,0.247,-0.0715
