Probenname,gene_name,gene_type,Ct
Mimic_ctrl_10pmol_1,miR-205-5p,target,16.59
Mimic_ctrl_10pmol_1,miR-16-5p,HK,19.8
Mimic_ctrl_10pmol_1,sno44,HK,19.24
Mimic_ctrl_10pmol_1,sno48,HK,19.31
Inh_ctrl_200pmol_1,miR-205-5p,target,18.65
Inh_ctrl_200pmol_1,miR-16-5p,HK,20.63
Inh_ctrl_200pmol_1,sno44,HK,
Inh_ctrl_200pmol_1,sno48,HK,24.08
Mimic_ctrl_10pmol_2,miR-205-5p,target,16.8
Mimic_ctrl_10pmol_2,miR-16-5p,HK,19.66
Mimic_ctrl_10pmol_2,sno44,HK,19.83
Mimic_ctrl_10pmol_2,sno48,HK,20.2
Inh_ctrl_200pmol_2,miR-205-5p,target,18.75
Inh_ctrl_200pmol_2,miR-16-5p,HK,20.69
Inh_ctrl_200pmol_2,sno44,HK,
Inh_ctrl_200pmol_2,sno48,HK,24.22
Mimic_ctrl_20pmol_1,miR-205-5p,target,17.13
Mimic_ctrl_20pmol_1,miR-16-5p,HK,20.04
Mimic_ctrl_20pmol_1,sno44,HK,20.1
Mimic_ctrl_20pmol_1,sno48,HK,20.67
Inh_ctrl_400pmol_1,miR-205-5p,target,18.31
Inh_ctrl_400pmol_1,miR-16-5p,HK,20.26
Inh_ctrl_400pmol_1,sno44,HK,
Inh_ctrl_400pmol_1,sno48,HK,23.49
Mimic_ctrl_20pmol_2,miR-205-5p,target,16.9
Mimic_ctrl_20pmol_2,miR-16-5p,HK,19.71
Mimic_ctrl_20pmol_2,sno44,HK,19.77
Mimic_ctrl_20pmol_2,sno48,HK,20.5
Inh_ctrl_400pmol_2,miR-205-5p,target,17.45
Inh_ctrl_400pmol_2,miR-16-5p,HK,19.15
Inh_ctrl_400pmol_2,sno44,HK,20.88
Inh_ctrl_400pmol_2,sno48,HK,23.12
Mimic_miR-205_10pmol_1,miR-205-5p,target,18.01
Mimic_miR-205_10pmol_1,miR-16-5p,HK,20.37
Mimic_miR-205_10pmol_1,sno44,HK,20.96
Mimic_miR-205_10pmol_1,sno48,HK,21.56
Inh_miR-205_200pmol_1,miR-205-5p,target,17.83
Inh_miR-205_200pmol_1,miR-16-5p,HK,19.61
Inh_miR-205_200pmol_1,sno44,HK,20.79
Inh_miR-205_200pmol_1,sno48,HK,22.99
Mimic_miR-205_10pmol_2,miR-205-5p,target,17.38
Mimic_miR-205_10pmol_2,miR-16-5p,HK,20.08
Mimic_miR-205_10pmol_2,sno44,HK,20.23
Mimic_miR-205_10pmol_2,sno48,HK,21.38
Inh_miR-205_200pmol_2,miR-205-5p,target,18.38
Inh_miR-205_200pmol_2,miR-16-5p,HK,20.01
Inh_miR-205_200pmol_2,sno44,HK,21.2
Inh_miR-205_200pmol_2,sno48,HK,24.36
Mimic_miR-205_20pmol_1,miR-205-5p,target,17.47
Mimic_miR-205_20pmol_1,miR-16-5p,HK,20.55
Mimic_miR-205_20pmol_1,sno44,HK,20.37
Mimic_miR-205_20pmol_1,sno48,HK,20.67
Inh_miR-205_400pmol_1,miR-205-5p,target,18.24
Inh_miR-205_400pmol_1,miR-16-5p,HK,19.56
Inh_miR-205_400pmol_1,sno44,HK,20.61
Inh_miR-205_400pmol_1,sno48,HK,23.07
Mimic_miR-205_20pmol_2,miR-205-5p,target,16.42
Mimic_miR-205_20pmol_2,miR-16-5p,HK,19.37
Mimic_miR-205_20pmol_2,sno44,HK,19.44
Mimic_miR-205_20pmol_2,sno48,HK,19.32
Inh_miR-205_400pmol_2,miR-205-5p,target,18.13
Inh_miR-205_400pmol_2,miR-16-5p,HK,19.88
Inh_miR-205_400pmol_2,sno44,HK,20.66
Inh_miR-205_400pmol_2,sno48,HK,23
