Probenname,gene_name,gene_type,Ct_Messung_270421,Ct_Messung_290421,mean_ct
mir-205_24h_5nM_3microL_1,miR-205-5p,target,13.08,12.53,12.805
mir-205_24h_5nM_3microL_1,miR-16-5p,HK,20.58,20.2,20.39
mir-205_24h_5nM_3microL_1,sno44,HK,20.01,19.53,19.77
mir-205_24h_5nM_3microL_1,sno48,HK,,20.13,20.13
mir-205_72h_5nM_3microL_1,miR-205-5p,target,15.96,16.03,15.995
mir-205_72h_5nM_3microL_1,miR-16-5p,HK,19.6,19.37,19.485
mir-205_72h_5nM_3microL_1,sno44,HK,,20.1,20.1
mir-205_72h_5nM_3microL_1,sno48,HK,,20.54,20.54
mir-205_24h_5nM_3microL_2,miR-205-5p,target,13.61,13.81,13.71
mir-205_24h_5nM_3microL_2,miR-16-5p,HK,20.94,20.6,20.77
mir-205_24h_5nM_3microL_2,sno44,HK,20.29,20.49,20.39
mir-205_24h_5nM_3microL_2,sno48,HK,,20.56,20.56
mir-205_72h_5nM_3microL_2,miR-205-5p,target,16.36,16.47,16.415
mir-205_72h_5nM_3microL_2,miR-16-5p,HK,20.37,20.11,20.24
mir-205_72h_5nM_3microL_2,sno44,HK,,20.56,20.56
mir-205_72h_5nM_3microL_2,sno48,HK,21.34,21.09,21.215
mir-205_24h_5nM_1.5microL_1,miR-205-5p,target,14.65,14.4,14.525
mir-205_24h_5nM_1.5microL_1,miR-16-5p,HK,20.31,20.24,20.275
mir-205_24h_5nM_1.5microL_1,sno44,HK,20.71,20.47,20.59
mir-205_24h_5nM_1.5microL_1,sno48,HK,22.32,22.05,22.185
mir-205_72h_5nM_1.5microL_1,miR-205-5p,target,17.74,17.77,17.755
mir-205_72h_5nM_1.5microL_1,miR-16-5p,HK,20.61,20.11,20.36
mir-205_72h_5nM_1.5microL_1,sno44,HK,,20.89,20.89
mir-205_72h_5nM_1.5microL_1,sno48,HK,21.77,21.51,21.64
mir-205_24h_5nM_1.5microL_2,miR-205-5p,target,15.03,,15.03
mir-205_24h_5nM_1.5microL_2,miR-16-5p,HK,20.28,20.29,20.285
mir-205_24h_5nM_1.5microL_2,sno44,HK,21.04,21.21,21.125
mir-205_24h_5nM_1.5microL_2,sno48,HK,23.17,22.78,22.975
mir-205_72h_5nM_1.5microL_2,miR-205-5p,target,25.54,24.64,25.09
mir-205_72h_5nM_1.5microL_2,miR-16-5p,HK,31.72,29.74,30.73
mir-205_72h_5nM_1.5microL_2,sno44,HK,,27.72,27.72
mir-205_72h_5nM_1.5microL_2,sno48,HK,29.04,28.78,28.91
mir-205_24h_10nM_3microL_1,miR-205-5p,target,13.18,,13.18
mir-205_24h_10nM_3microL_1,miR-16-5p,HK,20.26,,20.26
mir-205_24h_10nM_3microL_1,sno44,HK,20.05,20.26,20.155
mir-205_24h_10nM_3microL_1,sno48,HK,19.38,21.07,20.225
mir-205_72h_10nM_3microL_1,miR-205-5p,target,16.23,16.21,16.22
mir-205_72h_10nM_3microL_1,miR-16-5p,HK,20.37,20.3,20.335
mir-205_72h_10nM_3microL_1,sno44,HK,,20.43,20.43
mir-205_72h_10nM_3microL_1,sno48,HK,21.24,20.95,21.095
mir-205_24h_10nM_3microL_2,miR-205-5p,target,13.03,12.74,12.885
mir-205_24h_10nM_3microL_2,miR-16-5p,HK,20.32,20.15,20.235
mir-205_24h_10nM_3microL_2,sno44,HK,20.29,20.38,20.335
mir-205_24h_10nM_3microL_2,sno48,HK,21.08,21.08,21.08
mir-205_72h_10nM_3microL_2,miR-205-5p,target,18.61,18.1,18.355
mir-205_72h_10nM_3microL_2,miR-16-5p,HK,21.23,20.92,21.075
mir-205_72h_10nM_3microL_2,sno44,HK,,22.19,22.19
mir-205_72h_10nM_3microL_2,sno48,HK,24.19,23.94,24.065
ctrl_24h_5nM_3microL_1,miR-205-5p,target,17.99,17.43,17.71
ctrl_24h_5nM_3microL_1,miR-16-5p,HK,20.33,20.07,20.2
ctrl_24h_5nM_3microL_1,sno44,HK,19.2,19.08,19.14
ctrl_24h_5nM_3microL_1,sno48,HK,,19.6,19.6
ctrl_72h_5nM_3microL_1,miR-205-5p,target,17.81,17.29,17.55
ctrl_72h_5nM_3microL_1,miR-16-5p,HK,20.67,19.98,20.325
ctrl_72h_5nM_3microL_1,sno44,HK,,19.62,19.62
ctrl_72h_5nM_3microL_1,sno48,HK,20.41,20.02,20.215
ctrl_24h_5nM_3microL_2,miR-205-5p,target,18.63,18.16,18.395
ctrl_24h_5nM_3microL_2,miR-16-5p,HK,21.37,20.93,21.15
ctrl_24h_5nM_3microL_2,sno44,HK,,20.05,20.05
ctrl_24h_5nM_3microL_2,sno48,HK,20.64,20.29,20.465
ctrl_72h_5nM_3microL_2,miR-205-5p,target,17.49,17.65,17.57
ctrl_72h_5nM_3microL_2,miR-16-5p,HK,20.77,20.38,20.575
ctrl_72h_5nM_3microL_2,sno44,HK,19.9,19.6,19.75
ctrl_72h_5nM_3microL_2,sno48,HK,20.42,20.34,20.38
