Label,Messung,treatment,time,Area_pixels,Area_percent ,wound_closure
SCC12_antagomir205_t0_1_080721.jpg,4,antagomir205,0,2794081,44.411,0
SCC12_antagomir205_t0_2_080721.jpg,4,antagomir205,0,3766745,59.871,0
SCC12_antagomir205_t0_3_080721.jpg,4,antagomir205,0,3704992,58.889,0
SCC12_antagomir205_t0_4_080721.jpg,4,antagomir205,0,4439106,70.558,0
SCC12_antagomir205_t24_1_080721.jpg,4,antagomir205,24,94259,0,1
SCC12_antagomir205_t24_2_080721.jpg,4,antagomir205,24,198154,0,1
SCC12_antagomir205_t24_3_080721.jpg,4,antagomir205,24,132563,0,1
SCC12_antagomir205_t24_4_080721.jpg,4,antagomir205,24,119502,0,1
SCC12_antagomir205_t4_1_080721.jpg,4,antagomir205,4,2090065,33.221,0.251964603
SCC12_antagomir205_t4_2_080721.jpg,4,antagomir205,4,3025535,48.09,0.196773062
SCC12_antagomir205_t4_3_080721.jpg,4,antagomir205,4,2819114,44.809,0.239093889
SCC12_antagomir205_t4_4_080721.jpg,4,antagomir205,4,3783000,60.129,0.147807478
SCC12_antagomir205_t8_1_080721.jpg,4,antagomir205,8,1466520,23.31,0.475130035
SCC12_antagomir205_t8_2_080721.jpg,4,antagomir205,8,2316875,36.826,0.384910892
SCC12_antagomir205_t8_3_080721.jpg,4,antagomir205,8,2315922,36.811,0.374908727
SCC12_antagomir205_t8_4_080721.jpg,4,antagomir205,8,3512018,55.822,0.208849457
SCC12_control_t0_1_080721.jpg,4,control,0,3401833,54.071,0
SCC12_control_t0_2_080721.jpg,4,control,0,4783308,76.029,0
SCC12_control_t0_3_080721.jpg,4,control,0,3378191,53.695,0
SCC12_control_t0_4_080721.jpg,4,control,0,3626463,57.641,0
SCC12_control_t24_1_080721.jpg,4,control,24,70589,1.122,0.979249505
SCC12_control_t24_2_080721.jpg,4,control,24,139861,2.223,0.970761157
SCC12_control_t24_3_080721.jpg,4,control,24,29509,0,1
SCC12_control_t24_4_080721.jpg,4,control,24,557620,8.863,0.846237921
SCC12_control_t4_1_080721.jpg,4,control,4,2795980,44.441,0.178099166
SCC12_control_t4_2_080721.jpg,4,control,4,4513287,71.737,0.056452143
SCC12_control_t4_3_080721.jpg,4,control,4,2646064,42.058,0.21672409
SCC12_control_t4_4_080721.jpg,4,control,4,3204659,50.937,0.116306102
SCC12_control_t8_1_080721.jpg,4,control,8,2140555,34.023,0.370771763
SCC12_control_t8_2_080721.jpg,4,control,8,3829318,60.865,0.19945021
SCC12_control_t8_3_080721.jpg,4,control,8,2297625,36.52,0.319862185
SCC12_control_t8_4_080721.jpg,4,control,8,2342157,37.228,0.354140282
SCC12_control_t0_1_170621.jpg,2,control,0,4725559,75.111,0
SCC12_control_t4_1_170621.jpg,2,control,4,4130861,65.658,0.125853736
SCC12_control_t8_1_170621.jpg,2,control,8,3602185,57.255,0.237728162
SCC12_control_t12_1_170621.jpg,2,control,12,1791302,28.472,0.62093435
SCC12_control_t24_1_170621.jpg,2,control,24,0,0,1
SCC12_control_t0_2_170621.jpg,2,control,0,4254009,67.616,0
SCC12_control_t4_2_170621.jpg,2,control,4,3698466,58.786,0.130590393
SCC12_control_t8_2_170621.jpg,2,control,8,2912572,46.294,0.315339565
SCC12_control_t12_2_170621.jpg,2,control,12,1731931,27.528,0.592877425
SCC12_control_t24_2_170621.jpg,2,control,24,0,0,1
SCC12_antagomir205_t0_1_170621.jpg,2,antagomir205,0,4065401,64.618,0
