ID,Messung,Name,N_Cadherin,E_Cadherin
1,20220120,negative_control,329.8304678,548.3407109
2,20220120,negative_control,280.0850199,610.0052919
5,20220120,anti_miR_205,304.8388887,639.1444613
6,20220120,anti_miR_205,289.429717,563.6090294
7,20220120,TGF_beta_10ng,345.9774924,683.8496175
8,20220120,TGF_beta_10ng,427.911533,811.25117
9,20220120,anti_miR_205+TGF_beta,406.2488366,842.5865504
10,20220120,anti_miR_205+TGF_beta,374.3520988,792.3550915
11,20220120,fibroblasts,615.9380302,71.53700658
12,20220120,fibroblasts,310.5676501,70.16145694
13,20220126,negative_control,293.1629242,621.3040188
14,20220126,negative_control,315.7517383,643.8134023
15,20220126,transfection_control,304.1772598,649.3054198
16,20220126,transfection_control,315.3136787,620.9031744
17,20220126,anti_miR_205,605.413047,712.0708139
18,20220126,anti_miR_205,511.5952719,710.9982736
19,20220126,anti_miR_205+TGF_beta,753.7258516,758.9398062
20,20220126,anti_miR_205+TGF_beta,648.1904271,744.6738058
21,20220126,TGF_beta_10ng,1529.517499,1052.07666
22,20220126,TGF_beta_10ng,1310.078818,1050.462273
23,20220126,TGF_beta_130ng,983.2593391,1027.496828
24,20220126,TGF_beta_130ng,1572.610748,1063.612553
25,20220126,fibroblasts,500.6940644,103.464929
26,20220126,fibroblasts,453.4138255,101.4139382
27,20220126,TGF_beta_10ng_48h,1677.623683,1178.751247
28,20220126,TGF_beta_10ng_48h,1345.628618,1207.389008
29,20220317,negative_control,1040.067935,911.7531422
30,20220317,negative_control,948.5606365,931.9021357
31,20220317,transfection_control,266.3811721,599.6890039
32,20220317,transfection_control,330.5284248,665.3306528
33,20220317,TGF_beta_10ng,921.6016893,934.2489213
34,20220317,TGF_beta_10ng,1155.739803,939.1357492
35,20220317,TGF_beta_130ng,588.5716696,974.2151466
36,20220317,TGF_beta_130ng,1353.760612,930.9542558
37,20220317,anti_miR_205,951.6040366,822.4871195
38,20220317,anti_miR_205,592.9992018,955.3434356
39,20220317,anti_miR_205+TGF_beta,430.2894858,828.6871925
40,20220317,anti_miR_205+TGF_beta,582.7755682,934.5696783
41,20220317,fibroblasts,371.0680894,68.22302343
42,20220317,fibroblasts,429.3241995,74.84527823
