"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","Y",0.0196634104880777,25,-0.0841081970579132,0.068150542705563,-1.23415300478667,0.217179354435082,0.475239528528532
"KEGG_CITRATE_CYCLE_TCA_CYCLE","Y",0.0111974964147456,13,-0.0919426502504085,0.0934396310403822,-0.983979166299075,0.32515322048786,0.574807717973222
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","Y",0.0112476798636602,13,-0.0129865520896292,0.104485092294382,-0.12429095677152,0.901087789256184,0.957727593152287
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","Y",0.00573748557042436,7,1.01497889023347,0.277559947129453,3.65679162548654,0.000256904381414267,0.00499316678167992
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","Y",0.0104519805598237,12,0.10372081769505,0.125967402067598,0.823394116196745,0.41030656078954,0.673632807983557
"KEGG_GALACTOSE_METABOLISM","Y",0.00895553112420446,10,-0.00220238218019605,0.120877158691117,-0.0182200028859373,0.985463764638034,0.985463764638034
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","Y",0.00794172011405464,9,0.330566551483794,0.209405412922558,1.57859602037147,0.114465237842162,0.308558467226698
"KEGG_FATTY_ACID_METABOLISM","Y",0.0161925556637793,20,-0.110931067972562,0.0735579257468172,-1.50807770673661,0.131571084957709,0.339891969474081
"KEGG_STEROID_BIOSYNTHESIS","Y",0.00310320020924678,3,0.0133256546186277,0.225294504850969,0.0591477125793304,0.95283581947618,0.971495417537457
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","Y",0.00655675205098716,7,-0.00937601497547079,0.143027505423698,-0.0655539292788176,0.947734481038521,0.971495417537457
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","Y",0.014192579797443,18,0.441941383597774,0.151964943336112,2.90817983342579,0.00364462030086307,0.0266798375428267
"KEGG_OXIDATIVE_PHOSPHORYLATION","Y",0.0262742085488897,35,0.0232467023150867,0.0669466886173186,0.347242003976773,0.728417947455494,0.897256544547827
"KEGG_PURINE_METABOLISM","Y",0.0423250887123622,62,0.0786830500857484,0.0542055908727813,1.45156705828398,0.146658214426879,0.358926682676309
"KEGG_PYRIMIDINE_METABOLISM","Y",0.0273420229004595,37,0.133105271254069,0.0744181684692127,1.7886125658835,0.0737121433651229,0.217626328030363
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","Y",0.011112936025131,13,0.192042009423827,0.135820099877844,1.41394395672325,0.157414272199246,0.365988182863246
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","Y",0.00964589182674003,11,0.160433823207909,0.141622129373719,1.13283018633726,0.257316905874553,0.517390563187344
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","Y",0.00972313934866404,11,-0.0387766147821166,0.109563819064639,-0.353918064495722,0.723408896768557,0.89702703199301
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","Y",0.0119764501734326,14,0.0597694102552602,0.11122500075911,0.537373880398599,0.591023176018066,0.785216505281145
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","Y",0.00297788201650116,3,0.461414633136417,0.325092826738745,1.41933194209549,0.155838222666729,0.365988182863246
"KEGG_LYSINE_DEGRADATION","Y",0.0147393674069055,18,-0.133018888739932,0.075469648105987,-1.76254815118688,0.0780119654835494,0.226722274686565
"KEGG_ARGININE_AND_PROLINE_METABOLISM","Y",0.0169673314257172,21,0.0751974065070157,0.0925439619860109,0.812558754707116,0.416493402785533,0.673632807983557
"KEGG_HISTIDINE_METABOLISM","Y",0.0127149489015747,15,-0.0503822609547554,0.0923432579593652,-0.545597611218414,0.585356606273686,0.785216505281145
"KEGG_TYROSINE_METABOLISM","Y",0.0141792086837051,17,-0.0239270088616133,0.0899948013449753,-0.265871011480924,0.790344874522142,0.930405991526066
"KEGG_PHENYLALANINE_METABOLISM","Y",0.00735730151298877,8,-0.0611564869026684,0.124430830625255,-0.491489822862725,0.62309249304475,0.81045596997429
"KEGG_TRYPTOPHAN_METABOLISM","Y",0.0119924113922106,14,-0.0171320139933529,0.100118258992251,-0.171117777773972,0.864135151560297,0.9487185371851
"KEGG_BETA_ALANINE_METABOLISM","Y",0.00816922656202602,9,-0.00746128498959721,0.126499356562653,-0.0589827900500168,0.952967175463231,0.971495417537457
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM","Y",0.00398835528347774,4,-0.0946618207085937,0.170367047604321,-0.555634566893749,0.578475036066159,0.785216505281145
"KEGG_SELENOAMINO_ACID_METABOLISM","Y",0.00968444880052953,11,-0.0942934835720804,0.101130320345267,-0.932395776559939,0.351157996141737,0.596941203862116
"KEGG_GLUTATHIONE_METABOLISM","Y",0.0141830371596241,17,-0.00485198441495552,0.0924092639814272,-0.0525053896753327,0.958127210838064,0.971495417537457
"KEGG_STARCH_AND_SUCROSE_METABOLISM","Y",0.0132089273417347,16,0.245761770738419,0.141349676024073,1.73867940593344,0.0821266758464728,0.235008641652984
"KEGG_N_GLYCAN_BIOSYNTHESIS","Y",0.019046215435855,24,-0.0457750340328838,0.0735789986402259,-0.622120916006302,0.533878725896213,0.7697786280364
"KEGG_OTHER_GLYCAN_DEGRADATION","Y",0.00655579597049299,7,0.0213218867660338,0.149103679505115,0.143000406407156,0.886293184087507,0.957573354464001
"KEGG_O_GLYCAN_BIOSYNTHESIS","Y",0.00886385924099,10,-0.135014524697745,0.102350606982942,-1.31913750858602,0.187157990854715,0.419414292758759
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","Y",0.0119905569362817,14,0.0259096194647822,0.106165278414834,0.244049842393312,0.807197994035636,0.936585582340523
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","Y",0.0104260009505821,12,0.135394666522762,0.129568947784088,1.04496230646545,0.296069530795171,0.554927678940602
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","Y",0.00971207094452129,11,0.0687427666505114,0.126638564737034,0.542826482543102,0.58726323449304,0.785216505281145
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE","Y",0.00816092976517057,9,-0.0469716433537784,0.119450983402399,-0.393229440360012,0.694159698137153,0.876508192448441
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","Y",0.0133936245701691,16,0.114488070897681,0.111476200439436,1.02701805808211,0.304440619233101,0.560653021557988
"KEGG_GLYCEROLIPID_METABOLISM","Y",0.0176972384158388,22,0.017349328616181,0.0837420733025802,0.207175771174111,0.835877455207133,0.936585582340523
"KEGG_INOSITOL_PHOSPHATE_METABOLISM","Y",0.0248684041448794,33,-0.0939957146602782,0.0585994109244586,-1.60403855904711,0.108741985952942,0.297441314518342
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","Y",0.0104202662749535,12,0.141709764673902,0.136253553090861,1.04004454532942,0.298348214484194,0.554927678940602
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","Y",0.0294157684900767,40,0.0130789813047605,0.0618095807977914,0.211601197353985,0.83242314989807,0.936585582340523
"KEGG_ETHER_LIPID_METABOLISM","Y",0.0141714623449645,17,-0.0404288482079724,0.0880462883937069,-0.459177200374321,0.646118436119082,0.823137185740748
"KEGG_ARACHIDONIC_ACID_METABOLISM","Y",0.0141778124422085,17,0.0291771323099157,0.0967366913041239,0.301613916256322,0.762953633580336,0.910890728629738
"KEGG_LINOLEIC_ACID_METABOLISM","Y",0.00649446898679661,7,0.175342035592474,0.181746840072846,0.964759747801914,0.334692075818247,0.57641413057587
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM","Y",0.00735131368837377,8,-0.0729790747167122,0.122437657049659,-0.596050892145974,0.551156792812058,0.782558499717883
"KEGG_SPHINGOLIPID_METABOLISM","Y",0.013410012003063,16,-0.0833888191927602,0.0851724921320724,-0.979058110257636,0.327578591963234,0.574807717973222
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES","Y",0.0133841785185511,16,-0.100774794456368,0.0831388179304682,-1.21212686161414,0.225496861009572,0.486831695946561
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES","Y",0.00570017967849616,6,-0.0975224040213149,0.13624271077099,-0.715799057941826,0.474134715708134,0.711202073562201
