"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","MET","4233","ENSG00000105976","1"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","MET","4233","ENSG00000105976","1"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","SATB2","23314","ENSG00000119042","0.998"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","SATB2","23314","ENSG00000119042","0.998"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","COL12A1","1303","ENSG00000111799","0.998"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","COL12A1","1303","ENSG00000111799","0.998"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","FOXJ2","55810","ENSG00000065970","0.997"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","FOXJ2","55810","ENSG00000065970","0.997"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","TRIM67","440730","ENSG00000119283","0.996"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","TRIM67","440730","ENSG00000119283","0.996"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","CAPN6","827","ENSG00000077274","0.996"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","CAPN6","827","ENSG00000077274","0.996"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","NAV3","89795","ENSG00000067798","0.996"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","NAV3","89795","ENSG00000067798","0.996"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","JAKMIP1","152789","ENSG00000152969","0.995"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","PRKCE","5581","ENSG00000171132","0.995"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","FOXP1","27086","ENSG00000114861","0.995"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","FOXP1","27086","ENSG00000114861","0.995"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","SYT1","6857","ENSG00000067715","0.995"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","SYT1","6857","ENSG00000067715","0.995"
"diana_microt","MIMAT0000686","hsa-miR-34c-5p","C20orf24","55969","ENSG00000101084","0.993"
