"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","RYR3","6263","ENSG00000198838","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","MYH9","4627","ENSG00000100345","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","UBXN2A","165324","ENSG00000173960","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","ROCK1","6093","ENSG00000067900","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","ENPP4","22875","ENSG00000001561","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","FAM78B","149297","ENSG00000188859","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","SLC10A7","84068","ENSG00000120519","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PTBP3","9991","ENSG00000119314","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","RAB27A","5873","ENSG00000069974","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","VAMP3","9341","ENSG00000049245","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","LRRC58","116064","ENSG00000163428","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","CD164","8763","ENSG00000135535","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","TMEM87B","84910","ENSG00000153214","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","ZCCHC24","219654","ENSG00000165424","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","ATF7","11016","ENSG00000170653","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","MYH9","4627","ENSG00000100345","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","FAM177A1","283635","ENSG00000151327","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PIK3C2A","5286","ENSG00000011405","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","EYA4","2070","ENSG00000112319","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","ENPP4","22875","ENSG00000001561","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","MAGT1","84061","ENSG00000102158","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PTBP3","9991","ENSG00000119314","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","TMEM134","80194","ENSG00000172663","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","COL4A1","1282","ENSG00000187498","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","ROCK1","6093","ENSG00000067900","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PIK3C2A","5286","ENSG00000011405","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","SLC10A7","84068","ENSG00000120519","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","NFATC1","4772","ENSG00000131196","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","EYA4","2070","ENSG00000112319","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","RAD17","5884","ENSG00000152942","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","MAGT1","84061","ENSG00000102158","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","RHOG","391","ENSG00000177105","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PARP16","54956","ENSG00000138617","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PRKG1","5592","ENSG00000185532","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","RAB27A","5873","ENSG00000069974","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","VAMP3","9341","ENSG00000049245","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","CHP1","11261","ENSG00000187446","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PTPN9","5780","ENSG00000169410","1"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","BLOC1S6","26258","ENSG00000104164","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","NEK9","91754","ENSG00000119638","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","GLI3","2737","ENSG00000106571","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PTBP2","58155","ENSG00000117569","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","TTL","150465","ENSG00000114999","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","MYO10","4651","ENSG00000145555","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","TARBP1","6894","ENSG00000059588","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","RAB10","10890","ENSG00000084733","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","SIX4","51804","ENSG00000100625","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","PTPN12","5782","ENSG00000127947","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","B4GALT1","2683","ENSG00000086062","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","FRMD8","83786","ENSG00000126391","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","SERTAD4","56256","ENSG00000082497","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","AMOTL1","154810","ENSG00000166025","0.999"
"diana_microt","MIMAT0000422","hsa-miR-124-3p","C10orf12","26148","ENSG00000155640","0.999"
