"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","CAPRIN2","65981","ENSG00000110888","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","CAPRIN2","65981","ENSG00000110888","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","BACH1","571","ENSG00000156273","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","BACH1","100379661","ENSG00000156273","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","IGF2BP1","10642","ENSG00000159217","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","TRIM71","131405","ENSG00000206557","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","COL1A2","1278","ENSG00000164692","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ARID3B","10620","ENSG00000179361","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ACTB","60","ENSG00000075624","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ACTB","60","ENSG00000075624","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","BCAT1","586","ENSG00000060982","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","BCAT1","586","ENSG00000060982","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","NR6A1","2649","ENSG00000148200","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","HOXB1","3211","ENSG00000120094","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","HOXB1","3211","ENSG00000120094","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","PRKAR2A","5576","ENSG00000114302","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","PRKAR2A","5576","ENSG00000114302","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","SKIL","6498","ENSG00000136603","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","COIL","8161","ENSG00000121058","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","COIL","8161","ENSG00000121058","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","MAP4K3","8491","ENSG00000011566","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","MAP4K3","8491","ENSG00000011566","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","SYNCRIP","10492","ENSG00000135316","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","NFAT5","10725","ENSG00000102908","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","NFAT5","10725","ENSG00000102908","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","SLC35D2","11046","ENSG00000130958","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","AHCTF1","25909","ENSG00000153207","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ULK3","25989","ENSG00000140474","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","RNFT1","51136","ENSG00000189050","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","FIGN","55137","ENSG00000182263","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","YOD1","55432","ENSG00000180667","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","FAM214A","56204","ENSG00000047346","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","FAM214A","56204","ENSG00000047346","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ARHGAP28","79822","ENSG00000088756","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ARHGAP28","79822","ENSG00000088756","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","LIN28B","389421","ENSG00000187772","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","GDF6","392255","ENSG00000156466","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","CPEB1","64506","ENSG00000214575","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","PLEKHG6","55200","ENSG00000008323","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","PLEKHG6","55200","ENSG00000008323","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ARHGEF38","54848","ENSG00000236699","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","IGDCC3","9543","ENSG00000174498","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","LRIG2","9860","ENSG00000198799","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","PRTG","283659","ENSG00000166450","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","","79796","ENSG00000258529","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","VSTM5","387804","ENSG00000214376","1"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","COL3A1","1281","ENSG00000168542","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","TGFBR1","7046","ENSG00000106799","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","TGFBR1","7046","ENSG00000106799","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","CCNJ","54619","ENSG00000107443","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","CCNJ","54619","ENSG00000107443","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","IL13","3596","ENSG00000169194","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ZFYVE26","23503","ENSG00000072121","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","ZFYVE26","23503","ENSG00000072121","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","FRAS1","80144","ENSG00000138759","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","C14orf28","122525","ENSG00000179476","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","RICTOR","253260","ENSG00000164327","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","FAM222B","55731","ENSG00000173065","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","HIP1","3092","ENSG00000127946","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","HIP1","3092","ENSG00000127946","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","SLC6A5","9152","ENSG00000165970","0.999"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","MAP3K1","4214","ENSG00000095015","0.998"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","MAP3K1","4214","ENSG00000095015","0.998"
"diana_microt","MIMAT0000415","hsa-let-7i-5p","PTPRK","5796","ENSG00000152894","0.998"
