"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","E2F3","1871","ENSG00000112242","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","E2F3","1871","ENSG00000112242","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","PLAG1","5324","ENSG00000181690","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","RAB9B","51209","ENSG00000123570","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","RAB9B","51209","ENSG00000123570","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","CCNE1","898","ENSG00000105173","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","CCNE1","898","ENSG00000105173","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","AKT3","10000","ENSG00000117020","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","AKT3","10000","ENSG00000117020","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","FBXW7","55294","ENSG00000109670","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","FBXW7","55294","ENSG00000109670","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","FGF2","2247","ENSG00000138685","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","PAPPA","5069","ENSG00000182752","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","SALL1","6299","ENSG00000103449","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","SALL1","6299","ENSG00000103449","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","WEE1","7465","ENSG00000166483","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","DYRK1B","9149","ENSG00000105204","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","DYRK1B","9149","ENSG00000105204","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","TLK1","9874","ENSG00000198586","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","PRDM4","11108","ENSG00000110851","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","PRDM4","11108","ENSG00000110851","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","CCDC19","25790","ENSG00000213085","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","USP25","29761","ENSG00000155313","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","ASH1L","55870","ENSG00000116539","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","ASH1L","55870","ENSG00000116539","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","STK33","65975","ENSG00000130413","1"
"diana_microt","MIMAT0000068","hsa-miR-15a-5p","C1orf21","81563","ENSG00000116667","1"
