"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"targetscan","","hsa-miR-137","TIGD1","200765","ENSG00000221944","-0.835"
"targetscan","","hsa-miR-137","RPL11","6135","ENSG00000142676","-0.829"
"targetscan","","hsa-miR-137","STATH","6779","ENSG00000126549","-0.823"
"targetscan","","hsa-miR-137","MED11","400569","ENSG00000161920","-0.814"
"targetscan","","hsa-miR-137","OPRPN","58503","ENSG00000171199","-0.808"
"targetscan","","hsa-miR-137","PRTG","283659","ENSG00000166450","-0.805"
"targetscan","","hsa-miR-137","RPS13","6207","ENSG00000110700","-0.782"
"targetscan","","hsa-miR-137","HEXB","3074","ENSG00000049860","-0.751"
"targetscan","","hsa-miR-137","OSGEP","55644","ENSG00000092094","-0.725"
"targetscan","","hsa-miR-137","","","ENSG00000248511","-0.724"
"targetscan","","hsa-miR-137","FTHL17","53940","ENSG00000132446","-0.719"
"targetscan","","hsa-miR-137","TMSB15B","286527","ENSG00000158427","-0.716"
"targetscan","","hsa-miR-137","SMCP","4184","ENSG00000163206","-0.705"
"targetscan","","hsa-miR-137","SGCG","6445","ENSG00000102683","-0.68"
"targetscan","","hsa-miR-137","SERP1","27230","ENSG00000120742","-0.676"
"targetscan","","hsa-miR-137","TMEM218","219854","ENSG00000150433","-0.675"
"targetscan","","hsa-miR-137","PRADC1","84279","ENSG00000135617","-0.654"
"targetscan","","hsa-miR-137","HMGN3","9324","ENSG00000118418","-0.654"
"targetscan","","hsa-miR-137","LURAP1L","286343","ENSG00000153714","-0.646"
"targetscan","","hsa-miR-137","TBCE","","ENSG00000116957","-0.642"
"targetscan","","hsa-miR-137","TDRD7","23424","ENSG00000196116","-0.639"
"targetscan","","hsa-miR-137","KLHL10","317719","ENSG00000161594","-0.634"
"targetscan","","hsa-miR-137","RAB9A","9367","ENSG00000123595","-0.629"
"targetscan","","hsa-miR-137","ZNF789","285989","ENSG00000198556","-0.628"
"targetscan","","hsa-miR-137","SUSD3","203328","ENSG00000157303","-0.624"
"targetscan","","hsa-miR-137","REG3A","5068","ENSG00000172016","-0.615"
"targetscan","","hsa-miR-137","PTN","5764","ENSG00000105894","-0.613"
"targetscan","","hsa-miR-137","PDCD6","10016","ENSG00000249915","-0.612"
"targetscan","","hsa-miR-137","BX255923.1","","ENSG00000196400","-0.611"
"targetscan","","hsa-miR-137","NPIPB3","23117","ENSG00000169246","-0.61"
"targetscan","","hsa-miR-137","C9orf85","138241","ENSG00000155621","-0.608"
"targetscan","","hsa-miR-137","RWDD4","201965","ENSG00000182552","-0.606"
"targetscan","","hsa-miR-137","SNX25","83891","ENSG00000109762","-0.605"
"targetscan","","hsa-miR-137","IFT20","90410","ENSG00000109083","-0.601"
"targetscan","","hsa-miR-137","TXNDC17","84817","ENSG00000129235","-0.601"
"targetscan","","hsa-miR-137","GCA","25801","ENSG00000115271","-0.6"
"targetscan","","hsa-miR-137","CHORDC1","26973","ENSG00000110172","-0.599"
"targetscan","","hsa-miR-137","PIGY","84992","ENSG00000255072","-0.593"
"targetscan","","hsa-miR-137","C16orf46","123775","ENSG00000166455","-0.592"
"targetscan","","hsa-miR-137","AP3S1","1176","ENSG00000177879","-0.592"
"targetscan","","hsa-miR-137","DMRT3","58524","ENSG00000064218","-0.59"
"targetscan","","hsa-miR-137","GSTO1","9446","ENSG00000148834","-0.585"
"targetscan","","hsa-miR-137","","","ENSG00000228368","-0.583"
"targetscan","","hsa-miR-137","CDC37L1","55664","ENSG00000106993","-0.577"
"targetscan","","hsa-miR-137","MED27","9442","ENSG00000160563","-0.568"
"targetscan","","hsa-miR-137","SLC35A1","10559","ENSG00000164414","-0.564"
"targetscan","","hsa-miR-137","PRR16","51334","ENSG00000184838","-0.564"
"targetscan","","hsa-miR-137","C17orf58","284018","ENSG00000186665","-0.562"
"targetscan","","hsa-miR-137","SLC1A5","6510","ENSG00000105281","-0.561"
"targetscan","","hsa-miR-137","TCTN3","26123","ENSG00000119977","-0.561"
"targetscan","","hsa-miR-137","NREP","9315","ENSG00000134986","-0.555"
"targetscan","","hsa-miR-137","YBX1","4904","ENSG00000065978","-0.554"
"targetscan","","hsa-miR-137","COCH","1690","ENSG00000100473","-0.55"
"targetscan","","hsa-miR-137","ABHD6","57406","ENSG00000163686","-0.547"
"targetscan","","hsa-miR-137","KDELR3","11015","ENSG00000100196","-0.546"
"targetscan","","hsa-miR-137","PLPP5","84513","ENSG00000147535","-0.545"
"targetscan","","hsa-miR-137","MPP1","4354","ENSG00000130830","-0.545"
"targetscan","","hsa-miR-137","PVALB","5816","ENSG00000100362","-0.54"
"targetscan","","hsa-miR-137","PRKAB2","5565","ENSG00000131791","-0.54"
"targetscan","","hsa-miR-137","GPR137B","7107","ENSG00000077585","-0.539"
"targetscan","","hsa-miR-137","AFM","173","ENSG00000079557","-0.537"
"targetscan","","hsa-miR-137","CCDC153","283152","ENSG00000248712","-0.537"
"targetscan","","hsa-miR-137","NT5DC2","64943","ENSG00000168268","-0.536"
"targetscan","","hsa-miR-137","CYYR1","116159","ENSG00000166265","-0.535"
"targetscan","","hsa-miR-137","SYF2","25949","ENSG00000117614","-0.535"
