"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","GLCCI1","113263","ENSG00000106415","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","GLCCI1","113263","ENSG00000106415","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SOCS1","8651","ENSG00000185338","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","MMP16","4325","ENSG00000156103","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","KLHL20","27252","ENSG00000076321","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","KLHL20","27252","ENSG00000076321","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","TNRC6A","27327","ENSG00000090905","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","TNRC6A","27327","ENSG00000090905","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SCN3A","6328","ENSG00000153253","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ACVR1","90","ENSG00000115170","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ACVR1","90","ENSG00000115170","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","CELSR3","1951","ENSG00000008300","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","CELSR3","1951","ENSG00000008300","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PFN2","5217","ENSG00000070087","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PFN2","5217","ENSG00000070087","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PIP4K2A","5305","ENSG00000150867","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PLAGL2","5326","ENSG00000126003","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PLAGL2","5326","ENSG00000126003","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RRAD","6236","ENSG00000166592","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SCN2A","6326","ENSG00000136531","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SNAI1","6615","ENSG00000124216","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SNAI1","6615","ENSG00000124216","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","EED","8726","ENSG00000074266","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","EED","8726","ENSG00000074266","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","CCNE2","9134","ENSG00000175305","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","MAML1","9794","ENSG00000161021","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","JAKMIP2","9832","ENSG00000176049","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ATP8A1","10396","ENSG00000124406","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ATP8A1","10396","ENSG00000124406","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ERLIN1","10613","ENSG00000107566","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ERLIN1","10613","ENSG00000107566","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","CDH20","28316","ENSG00000101542","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","CDH20","28316","ENSG00000101542","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","UBE2J1","51465","ENSG00000198833","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","GALNT7","51809","ENSG00000109586","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","GALNT7","51809","ENSG00000109586","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","STOX2","56977","ENSG00000173320","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","KIAA1549","57670","ENSG00000122778","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","KIAA1549","57670","ENSG00000122778","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","VAT1L","57687","ENSG00000171724","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SETD7","80854","ENSG00000145391","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","FAM49A","81553","ENSG00000197872","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ZNF644","84146","ENSG00000122482","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ZNF644","84146","ENSG00000122482","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","MEX3B","84206","ENSG00000183496","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","MTDH","92140","ENSG00000147649","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RHEBL1","121268","ENSG00000167550","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","C9orf72","203228","ENSG00000147894","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","LCLAT1","253558","ENSG00000172954","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","UBN2","254048","ENSG00000157741","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ELMOD2","255520","ENSG00000179387","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ZNF644","100996620","ENSG00000122482","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","ZNF644","100996620","ENSG00000122482","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","LHX8","431707","ENSG00000162624","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","IP6K3","117283","ENSG00000161896","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SCN1A","6323","ENSG00000144285","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","STIM2","57620","ENSG00000109689","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","STIM2","57620","ENSG00000109689","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PPARGC1B","133522","ENSG00000155846","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PDE7A","5150","ENSG00000205268","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","LGI1","9211","ENSG00000108231","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","LGI1","9211","ENSG00000108231","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SEMA3A","10371","ENSG00000075213","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SEMA3A","10371","ENSG00000075213","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","R3HDM1","23518","ENSG00000048991","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","R3HDM1","23518","ENSG00000048991","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","TBC1D10B","26000","ENSG00000169221","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","DESI2","51029","ENSG00000121644","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","DESI2","51029","ENSG00000121644","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RNF220","55182","ENSG00000187147","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","BRWD3","254065","ENSG00000165288","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RFX6","222546","ENSG00000185002","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","EVX2","344191","ENSG00000174279","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","AC130352.1","","ENSG00000205873","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","","","ENSG00000233404","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","LHX1","3975","ENSG00000273706","1"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","TWF1","5756","ENSG00000151239","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RARG","5916","ENSG00000172819","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PRDM1","639","ENSG00000057657","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","PRDM1","639","ENSG00000057657","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RASA1","5921","ENSG00000145715","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","BNIP3L","665","ENSG00000104765","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","BNIP3L","665","ENSG00000104765","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","EXTL2","2135","ENSG00000162694","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","MYBL2","4605","ENSG00000101057","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","MYBL2","4605","ENSG00000101057","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","NT5E","4907","ENSG00000135318","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RORA","6095","ENSG00000069667","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","RORA","6095","ENSG00000069667","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","TLE1","7088","ENSG00000196781","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","FZD3","7976","ENSG00000104290","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","FZD3","7976","ENSG00000104290","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SYNGR3","9143","ENSG00000127561","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","SYNGR3","9143","ENSG00000127561","0.999"
"diana_microt","MIMAT0000245","hsa-miR-30d-5p","XPR1","9213","ENSG00000143324","0.999"
