"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","NFIA","4774","ENSG00000162599","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","ACPL2","92370","ENSG00000155893","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","COL3A1","1281","ENSG00000168542","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","COL4A1","1282","ENSG00000187498","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","MMP16","4325","ENSG00000156103","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","ROBO1","6091","ENSG00000169855","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","COL4A5","1287","ENSG00000188153","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","DDX3X","1654","ENSG00000215301","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","IREB2","3658","ENSG00000136381","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","PMP22","5376","ENSG00000109099","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","PMP22","5376","ENSG00000109099","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","RLF","6018","ENSG00000117000","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","RLF","6018","ENSG00000117000","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","TLL1","7092","ENSG00000038295","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","TLL1","7092","ENSG00000038295","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","PXDN","7837","ENSG00000130508","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","YBX3","8531","ENSG00000060138","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","YBX3","8531","ENSG00000060138","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","LIN7A","8825","ENSG00000111052","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","LIN7A","8825","ENSG00000111052","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","HBP1","26959","ENSG00000105856","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","HBP1","26959","ENSG00000105856","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","COL5A3","50509","ENSG00000080573","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","COL5A3","50509","ENSG00000080573","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","ATAD2B","54454","ENSG00000119778","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","ATAD2B","54454","ENSG00000119778","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","PCDHA6","56142","ENSG00000081842","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","PCDHA6","56142","ENSG00000081842","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","HIF3A","64344","ENSG00000124440","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","HIF3A","64344","ENSG00000124440","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","MEX3B","84206","ENSG00000183496","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","SESTD1","91404","ENSG00000187231","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","SLC16A14","151473","ENSG00000163053","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","IFI30","10437","ENSG00000216490","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","COL7A1","1294","ENSG00000114270","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","COL7A1","1294","ENSG00000114270","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","ELN","2006","ENSG00000049540","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","ELN","2006","ENSG00000049540","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","KIAA2022","340533","ENSG00000050030","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","KIAA2022","340533","ENSG00000050030","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","PAN2","9924","ENSG00000135473","1"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","GRIP1","23426","ENSG00000155974","1"
