"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0001541","hsa-miR-449a","E2F3","1871","ENSG00000112242","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","SATB2","23314","ENSG00000119042","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","GOLPH3L","55204","ENSG00000143457","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","TRIM67","440730","ENSG00000119283","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","NAV3","89795","ENSG00000067798","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","FAM76A","199870","ENSG00000009780","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","TGIF2","60436","ENSG00000118707","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","GABRA3","2556","ENSG00000011677","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","SYT1","6857","ENSG00000067715","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","CCNE2","9134","ENSG00000175305","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","E2F3","1871","ENSG00000112242","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","SATB2","23314","ENSG00000119042","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","SLC25A27","9481","ENSG00000153291","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","RRAS","6237","ENSG00000126458","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","ZNF281","23528","ENSG00000162702","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","FUT8","2530","ENSG00000033170","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","SYT1","6857","ENSG00000067715","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","TMEM255A","55026","ENSG00000125355","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","","","ENSG00000260259","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","TRIM67","440730","ENSG00000119283","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","RRAS","6237","ENSG00000126458","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","NAV3","89795","ENSG00000067798","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","LEF1","51176","ENSG00000138795","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","FAM76A","199870","ENSG00000009780","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","PPP1R11","6992","ENSG00000204619","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","TGIF2","60436","ENSG00000118707","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","GABRA3","2556","ENSG00000011677","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","FUT8","2530","ENSG00000033170","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","TMEM255A","55026","ENSG00000125355","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","HCN3","57657","ENSG00000143630","1"
"diana_microt","MIMAT0001541","hsa-miR-449a","ACSL4","2182","ENSG00000068366","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","NUMBL","9253","ENSG00000105245","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","C20orf24","55969","ENSG00000101084","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","MYCN","4613","ENSG00000134323","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","PPFIA1","8500","ENSG00000131626","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","E2F5","1875","ENSG00000133740","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","ACSL4","2182","ENSG00000068366","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","NUMBL","9253","ENSG00000105245","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","C20orf24","55969","ENSG00000101084","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","VAMP2","6844","ENSG00000220205","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","OSGIN2","734","ENSG00000164823","0.999"
"diana_microt","MIMAT0001541","hsa-miR-449a","MGAT4A","11320","ENSG00000071073","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","DBC1","1620","ENSG00000078725","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","PPP2R3A","5523","ENSG00000073711","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","NRIP3","56675","ENSG00000175352","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","DBC1","1620","ENSG00000078725","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","AMER2","219287","ENSG00000165566","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","PPP2R3A","5523","ENSG00000073711","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","MGAT4A","11320","ENSG00000071073","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","PSMB6","5694","ENSG00000142507","0.998"
"diana_microt","MIMAT0001541","hsa-miR-449a","TBL1XR1","79718","ENSG00000177565","0.997"
"diana_microt","MIMAT0001541","hsa-miR-449a","TPD52","7163","ENSG00000076554","0.997"
