"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","BTG1","694","ENSG00000133639","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","LRP6","4040","ENSG00000070018","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","LRP6","4040","ENSG00000070018","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PFN2","5217","ENSG00000070087","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PFN2","5217","ENSG00000070087","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PPP2R5C","5527","ENSG00000078304","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PPP2R5C","5527","ENSG00000078304","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","TMPO","7112","ENSG00000120802","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","TMPO","7112","ENSG00000120802","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","DUSP10","11221","ENSG00000143507","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PSEN2","5664","ENSG00000143801","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PPP2CA","5515","ENSG00000113575","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PPP2CA","5515","ENSG00000113575","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","MICB","4277","ENSG00000204516","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","KCNK10","54207","ENSG00000100433","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","KCNK10","54207","ENSG00000100433","1"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","RBMS1","5937","ENSG00000153250","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","FCHO2","115548","ENSG00000157107","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PPP2CB","5516","ENSG00000104695","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PPP2CB","5516","ENSG00000104695","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PTPN4","5775","ENSG00000088179","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PTPN4","5775","ENSG00000088179","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","REV3L","5980","ENSG00000009413","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","REV3L","5980","ENSG00000009413","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","SACS","26278","ENSG00000151835","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","GJD2","57369","ENSG00000159248","0.999"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","KIF2A","3796","ENSG00000068796","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","KIF2A","3796","ENSG00000068796","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","GNG5","2787","ENSG00000174021","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","MBNL1","4154","ENSG00000152601","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","FAM175B","23172","ENSG00000165660","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","NTN4","59277","ENSG00000074527","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","NTN4","59277","ENSG00000074527","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CEP97","79598","ENSG00000182504","0.998"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ROBO2","6092","ENSG00000185008","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","SEL1L","6400","ENSG00000071537","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","SEL1L","6400","ENSG00000071537","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","SLAIN1","122060","ENSG00000139737","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","FRMD6","122786","ENSG00000139926","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CSN1S1","1446","ENSG00000126545","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CSN1S1","1446","ENSG00000126545","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","TMEM184C","55751","ENSG00000164168","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","RP11-73O6.4","","ENSG00000260527","0.997"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PKD2","5311","ENSG00000118762","0.996"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PKD2","5311","ENSG00000118762","0.996"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PLAGL2","5326","ENSG00000126003","0.994"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PLAGL2","5326","ENSG00000126003","0.994"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CELF2","10659","ENSG00000048740","0.994"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CELF2","10659","ENSG00000048740","0.994"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","LIN52","91750","ENSG00000205659","0.994"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","SREK1IP1","285672","ENSG00000153006","0.994"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","SOCS6","9306","ENSG00000170677","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ARHGAP21","57584","ENSG00000107863","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ARHGAP21","57584","ENSG00000107863","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PANK3","79646","ENSG00000120137","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PANK3","79646","ENSG00000120137","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","HECTD2","143279","ENSG00000165338","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CELF1","10658","ENSG00000149187","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CSMD1","64478","ENSG00000183117","0.993"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","KCNK2","3776","ENSG00000082482","0.992"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","KCNK2","3776","ENSG00000082482","0.992"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","RALA","5898","ENSG00000006451","0.992"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","RALA","5898","ENSG00000006451","0.992"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","MTMR6","9107","ENSG00000139505","0.991"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ABAT","18","ENSG00000183044","0.991"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CPM","1368","ENSG00000135678","0.991"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","TTC7B","145567","ENSG00000165914","0.991"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","AKAP12","9590","ENSG00000131016","0.99"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CEP170B","283638","ENSG00000099814","0.99"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","CEP170B","283638","ENSG00000099814","0.99"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","DTNA","1837","ENSG00000134769","0.99"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","IDH2","3418","ENSG00000182054","0.989"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PIGX","54965","ENSG00000163964","0.989"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","MACROD2","140733","ENSG00000172264","0.989"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PDCD4","27250","ENSG00000150593","0.988"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","PDCD4","100616113","ENSG00000150593","0.988"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","RCN2","5955","ENSG00000117906","0.988"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","RCN2","5955","ENSG00000117906","0.988"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","NRG1","3084","ENSG00000157168","0.987"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ATP2C1","27032","ENSG00000017260","0.987"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ATP2C1","27032","ENSG00000017260","0.987"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","GLRA3","8001","ENSG00000145451","0.987"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","FOXP1","27086","ENSG00000114861","0.986"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","FOXP1","27086","ENSG00000114861","0.986"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ITGB1","3688","ENSG00000150093","0.986"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","KIAA0368","23392","ENSG00000136813","0.986"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","REV1","51455","ENSG00000135945","0.986"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","EZR","7430","ENSG00000092820","0.984"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","EZR","7430","ENSG00000092820","0.984"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ASTN1","460","ENSG00000152092","0.984"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ZFYVE26","23503","ENSG00000072121","0.984"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","ZFYVE26","23503","ENSG00000072121","0.984"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","FOXN2","3344","ENSG00000170802","0.983"
"diana_microt","MIMAT0000261","hsa-miR-183-5p","EIF3A","8661","ENSG00000107581","0.982"
