"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","CAPRIN2","65981","ENSG00000110888","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","CAPRIN2","65981","ENSG00000110888","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","BACH1","571","ENSG00000156273","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","BACH1","100379661","ENSG00000156273","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","IGF2BP1","10642","ENSG00000159217","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","TRIM71","131405","ENSG00000206557","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","COL1A2","1278","ENSG00000164692","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","ARID3B","10620","ENSG00000179361","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","ACTB","60","ENSG00000075624","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","ACTB","60","ENSG00000075624","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","NR6A1","2649","ENSG00000148200","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","HOXB1","3211","ENSG00000120094","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","HOXB1","3211","ENSG00000120094","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","SKIL","6498","ENSG00000136603","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","COIL","8161","ENSG00000121058","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","COIL","8161","ENSG00000121058","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","MAP4K3","8491","ENSG00000011566","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","MAP4K3","8491","ENSG00000011566","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","SYNCRIP","10492","ENSG00000135316","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","NFAT5","10725","ENSG00000102908","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","NFAT5","10725","ENSG00000102908","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","RNFT1","51136","ENSG00000189050","1"
"diana_microt","MIMAT0000067","hsa-let-7f-5p","FIGN","55137","ENSG00000182263","1"
